nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-toelichting,GGM-target-guid,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-type,GEMMA-guid,GEMMA-source-guid,GEMMA-target-guid,datum-tijd-export,GGM-guid,GGM-source-guid
508,is,,Association,nan,{452312FD-05FB-4abc-A48B-C605F7E3E193},is,nan,nan,association-relationship,d669deb4-79f7-4e15-9b95-4b8186f7e92f,40c57f7c-2356-4c05-b22d-a2a8466dfebd,d1a889c0-4455-4121-9def-df4004050918,18022026-151638,,
509,is bedoeld voor,,Association,nan,{069C9894-5E07-4c95-AC28-EB4A5EBFD165},is bedoeld voor,nan,nan,association-relationship,1d524c3a-a1e7-4221-82ac-dbcac1493647,d1a889c0-4455-4121-9def-df4004050918,7be642b3-e95f-4f1a-9415-d95c38346e9f,18022026-151638,,
510,heeft,,Association,nan,{576642BA-9AF9-42fc-831A-F9D3138F20FC},heeft,nan,nan,association-relationship,dca98c3a-558b-4fa5-8a53-268bd4306813,e963434a-50be-4619-b041-58689adc00de,02f467d4-ebca-47cc-9a06-ed4d635d4462,18022026-151638,,
511,betreft,,Association,nan,{FF566C6B-077B-4914-8AF7-40EB1EDD388A},betreft,nan,nan,association-relationship,07d36541-ab04-44d5-80c5-d1bd6f694f72,25088983-e263-4879-8cbb-b699218df32c,021bf2ce-98b1-4ca5-8785-4cc902b98f10,18022026-151638,,
512,tegen prijs,,Association,nan,{BF7BAB5F-7025-4792-8288-47F5B1C53E95},tegen prijs,nan,nan,association-relationship,d48b950f-5dd2-4e00-b8d7-4bfa613bc08d,25088983-e263-4879-8cbb-b699218df32c,eab684dd-ef28-42f6-adcc-f9b513859a0d,18022026-151638,,
513,heeft,,Association,nan,{11AB7925-5C96-4615-92F6-4055935221A0},heeft,nan,nan,association-relationship,8eac410d-1f63-4549-b772-04c1a6c9ed9c,b9283c74-797a-4a79-83a7-ca5619ef8b1d,88554f73-87e4-45e5-999e-4b5d029f15a9,18022026-151638,,
514,van soort,,Association,,{D77AB8CF-E4B1-49fd-BE78-FE358FF76F13},,,,,,,,18022026-151638,,
515,heeft,,Association,nan,{2EE54C3D-0D8B-440e-A4A4-031273313901},heeft,nan,nan,association-relationship,e24bf7e2-8224-4b05-a8bc-2df196d5546b,b9283c74-797a-4a79-83a7-ca5619ef8b1d,3410d2a0-c0ff-4984-a083-a1b27c374178,18022026-151638,,
516,monument functie,,Association,,{49993EF9-ED8B-49e0-B8F7-FC7C8C28669D},,,,,,,,18022026-151638,,
517,betreft,,Association,nan,{26D1113F-F7B3-4bdd-9AAE-EA14CC9F3C3F},betreft,nan,nan,association-relationship,74aa12a8-e685-4ce6-aea2-f1b9f0cc6f03,4ebf7f05-0ff1-4d2e-aa62-879be7565dd7,1affb298-091d-452a-83bd-29638650afb5,18022026-151638,,
518,monument bouwtype,,Association,,{5E9DAFBB-C9B5-4706-A43D-07AD4979DED4},,,,,,,,18022026-151638,,
519,betreft,,Association,nan,{9775E778-DBF8-4122-94CE-551466B62F46},betreft,nan,nan,association-relationship,e445dffc-eb7f-45c7-b262-d941c4425496,4ebf7f05-0ff1-4d2e-aa62-879be7565dd7,8155eb9b-eb9e-4eec-a850-80c185983a9f,18022026-151638,,
520,monument bouwactiviteit,,Association,nan,{4AD539EC-A308-43da-B025-17A1647303F3},monument bouwactiviteit,nan,nan,association-relationship,f24b1d87-3295-4cc5-bfd6-1a1ea0dac0c0,4ebf7f05-0ff1-4d2e-aa62-879be7565dd7,2b2319c1-d5b9-43c6-87cb-43bb194c65c6,18022026-151638,,
521,betreft,,Association,nan,{FB13857C-C695-4b53-8060-BACFA0E16950},betreft,nan,nan,association-relationship,e6876aef-8291-4b3a-888a-9ed7850d942a,4ebf7f05-0ff1-4d2e-aa62-879be7565dd7,bb6b6dd2-7b6a-4146-afc0-c5647256ef11,18022026-151638,,
522,betreft,,Association,,{BFE30E32-8CB9-4272-A559-9FB3FD74DACC},,,,,,,,18022026-151638,,
523,monument fotos,,Association,nan,{7FE4B466-B051-4068-9ED1-6E60C3B2DBAD},monument fotos,nan,nan,association-relationship,12b60afd-2e12-4c61-bd9d-1427d3355679,4ebf7f05-0ff1-4d2e-aa62-879be7565dd7,b285df90-a239-4757-b78e-a281744f89cb,18022026-151638,,
524,monument bouwstijl,,Association,nan,{8C0888C9-7B2E-4fcb-AEFF-E1733875CDCA},monument bouwstijl,nan,nan,association-relationship,d2d29d92-77fb-49a7-ab49-12b6cd92e217,4ebf7f05-0ff1-4d2e-aa62-879be7565dd7,b46a0ac4-5d5a-430a-be26-9b40cc3bb7af,18022026-151638,,
525,monument ambacht,,Association,nan,{54944273-F312-44b2-A78D-43488F915429},monument ambacht,nan,nan,association-relationship,e0f90c75-0b61-49a9-9dba-a52749a1382e,4ebf7f05-0ff1-4d2e-aa62-879be7565dd7,bb9de7ad-7e7e-4b87-9968-046d9bedd6ef,18022026-151638,,
526,speelt rol in,,Association,nan,{71A5C565-C2CC-495f-910A-76C199C6AF0E},speelt rol in,nan,nan,association-relationship,d3a918dc-f5df-41ae-a7df-7c358aef76f2,36e81522-45dc-4859-a86a-92f9d1d879ba,9d218c7e-64e5-45e1-9bac-ec9f27d50fe3,18022026-151638,,
