nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-guid,GEMMA-type,datum-tijd-export,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-url,GEMMA-alternate-name,GGM-toelichting
34,Vastgoed Contract,,Class,,{1C84E4B6-1BB5-4a0d-A945-FFFDFDFB544B},,Vastgoed,,,id-1c84e4b6-1bb5-4a0d-a945-fffdfdfb544b,Data object,21022024-11:03:02,,,,,,,,
35,Vastgoedcontractregel,ONderdeel van een vastgoedcontract,Class,,{1C25D70B-AE22-4654-9190-2F55272D9BE6},,Vastgoed,,,id-1c25d70b-ae22-4654-9190-2f55272d9be6,Data object,21022024-11:03:02,,,,,,,,
36,Vastgoedobject,"Perceel of vastgoed waar de gemeente een zakelijk recht heeft, en optioneel verhuurd, verpacht of anderzinds aan een derde partij.",Class,,{28A6F2AC-5AB1-4f25-8876-931152CA28E0},,Vastgoed,,,id-28a6f2ac-5ab1-4f25-8876-931152ca28e0,Business object,21022024-11:03:02,,,,,,,,
37,Verhuurbaar Eenheid,Een Verhuurbare Eenheid (VHE) is een eenheid die individueel verhuurbaar is. Verhuurbaar komt voort uit 'exploitatie',Class,,{98A7AE65-A061-449a-94CD-6218069CA86A},,Vastgoed,,,id-98a7ae65-a061-449a-94cd-6218069ca86a,Business object,21022024-11:03:02,,,,,,,,
38,Werkbon,Document waarin een heoveelheid werk is beschreven,Class,,{C5AA8835-219D-4bfa-85EF-8BA45F732BCD},,Vastgoed,,,id-c5aa8835-219d-4bfa-85ef-8ba45f732bcd,Business object,21022024-11:03:02,,,,,,,,
39,WOZ-Belang,,Class,,{E71DC5EC-EEEB-4d27-A3C1-B46FD34AD41B},,Vastgoed,,,id-e71dc5ec-eeeb-4d27-a3c1-b46fd34ad41b,Data object,21022024-11:03:02,,,,,,,,
40,Zakelijk Recht,"Geeft een recht op een goed, zoals een onroerende zaak of een roerende zaak. ",Class,,{8D52E9F1-9CC9-42c6-A347-E68E29718E55},,Vastgoed,,,id-8d52e9f1-9cc9-42c6-a347-e68e29718e55,Business object,21022024-11:03:02,,,,,,,,
41,Energielabel Gebouwen,"<font color=""#1a1a1a""><b>Gebouwen (geen woningen in particulier bezit)</b></font><font color=""#42474b"">[</font><a href=""https://nl.wikipedia.org/w/index.php?title=Energielabel&amp;action=edit&amp;section=11""><font color=""#092f9d""><u>bewerken</u></font></a><font color=""#42474b"">]</font>
<font color=""#1a1a1a"">In 2002 heeft het Europese Parlement de EPBD-richtlijn aangenomen. Deze richtlijn is gericht op het terugdringen van het energiegebruik van </font><a href=""https://nl.wikipedia.org/wiki/Gebouw""><font color=""#092f9d""><u>gebouwen</u></font></a><font color=""#1a1a1a"">, met het oog op vermindering van de uitstoot van o.a. CO<sub>2</sub> en om de afhankelijkheid van fossiele brandstoffen te verkleinen. Op basis van deze Europese richtlijn is het in Nederland sinds 1 januari 2008 verplicht gesteld dat bij iedere transactie van utiliteitsgebouw ouder dan 10 jaar een energielabel aan de nieuwe gebruiker overhandigd moet worden. Sinds 2010 zijn de regels voor toekenning sterk versimpeld: ""Er wordt geschat hoeveel </font><a href=""https://nl.wikipedia.org/wiki/Giga""><font color=""#092f9d""><u>giga</u></font></a><a href=""https://nl.wikipedia.org/wiki/Joule""><font color=""#092f9d""><u>joule</u></font></a><font color=""#1a1a1a""> energie de woning elk jaar per vierkante meter gebruikt voor verwarming, warm water en verlichting"". Hiervan wordt afgetrokken de geschatte warmteterugwinning uit rioolwater en ventilatie, en de geschatte energieproductie via zonnecollectoren (zowel elektrisch als warm water). Er wordt uitgegaan van gemiddelde bewoning, gemiddeld buitenklimaat en gemiddeld stookgedrag.</font>
<font color=""#1a1a1a"">
</font><font color=""#1a1a1a"">Bron Wikipedia</font>",Enumeration,,{808592B6-401F-48c7-BD2A-2A3D77E846A4},,Vastgoed,,,id-808592b6-401f-48c7-bd2a-2a3d77e846a4,Data object,21022024-11:03:02,,,,,,,,
42,Monumenttypering,,Enumeration,,{764193B9-F588-46a2-A230-4B9D29B8CF44},,Vastgoed,,,id-764193b9-f588-46a2-a230-4b9d29b8cf44,Data object,21022024-11:03:02,,,,,,,,
43,NEN2767 Conditiescore,"<font color=""#262626"">NEN 2767 zorgt voor het uniform inspecteren en in kaart brengen van de technische staat van alle bouw- en installatie delen m.b.t. gebouwen en/of infrastructuur. Door middel van conditiescores maakt u gemakkelijk vergelijkingen tussen de verschillende onderhoudstoestanden van objecten. Zo heeft u met de resultaten inzicht in onderhoudskosten en mogelijke risico’s en zo kunt u meerjarige onderhoudsplanningen opstellen. Kortom, met deze norm kunt u de kwaliteit waarborgen.</font>",Enumeration,,{81CA4474-4D1E-485d-94F9-1243FA00B1FE},,Vastgoed,,,id-81ca4474-4d1e-485d-94f9-1243fa00b1fe,Data object,21022024-11:03:02,,,,,,,,
