,naam,definitie,uml-type,ggm-guid,ggm-source-guid,ggm-target-guid,toelichting,archimate-type,gemma-guid,gemma-source-guid,gemma-target-guid,datum-tijd-export
469,verantwoordelijk ouder,,Association,{40A5CCFA-BC16-4bd5-BAE7-4DE44F139081},{90E49701-2A06-4669-9199-6FCFDFCA707A},{51C8E3DF-FFF4-4a20-9CB2-AA5FA50579E2},,,,,,25102023-07:53:00
470,betreft,,Association,{26655188-F699-4467-B728-12C6D42B61DF},{07FE66E8-8316-406b-A590-922C2E7B4305},{266057AF-58BD-42e1-B4D5-16EB266B9B7A},,,,,,25102023-07:53:00
471,betreft,,Association,{5CD65CEA-FA82-48e6-AE24-33C9638A1BE3},{B65280CD-3429-4966-AD2D-CB3EE76EE2E8},{266057AF-58BD-42e1-B4D5-16EB266B9B7A},,,,,,25102023-07:53:00
472,betreft,,Association,{48E22FD5-48A0-4b73-8F26-F9BCC6219B30},{66E2B5BA-44A0-4fde-AE33-E211EE4832C2},{266057AF-58BD-42e1-B4D5-16EB266B9B7A},,,,,,25102023-07:53:00
473,betreft,,Association,{D6AE47CD-3BE5-492a-A143-A29C3B3F38EA},{07FE66E8-8316-406b-A590-922C2E7B4305},{613E192A-D0F2-4e67-BE73-51C09197EE3D},,,,,,25102023-07:53:00
474,vervoerder,,Association,{EEB8F903-7B09-4df8-B1A2-7E28DD02269F},{81870665-768C-4fb2-8A4F-A9CB7989C884},{613E192A-D0F2-4e67-BE73-51C09197EE3D},,,,,,25102023-07:53:00
475,behandelaar,,Association,{610BCAE9-CF8A-4f13-9BE5-8CA2F4E5A937},{B65280CD-3429-4966-AD2D-CB3EE76EE2E8},{B369B374-F560-4ea6-9A8B-DBBCB4961EFF},,,,,,25102023-07:53:00
476,heeft,,Association,{7570B853-AEE4-4a58-A791-9FE8BE675DD6},{5805FA72-C0CE-43c1-A53F-B81166AEFDD4},{669000E9-25D6-4346-B718-516CDB8B88B7},,,,,,25102023-07:53:00
477,,,Generalization,{2480687F-FBAE-4e71-805B-0456E338F9D4},{5805FA72-C0CE-43c1-A53F-B81166AEFDD4},{B60B8EF9-D1C0-4e36-BF9B-1C16F92518DD},,,,,,25102023-07:53:00
478,bij,,Association,{F74AC804-79E6-40a6-992F-C50B4F045C90},{3BF6985C-06AB-4cfc-9A0E-5CC37C224245},{B60B8EF9-D1C0-4e36-BF9B-1C16F92518DD},,,,,,25102023-07:53:00
479,heeft,,Association,{968FD4BA-EAFC-43e0-8BEF-B1525616127C},{3D5CCB29-91E4-458e-8BCD-6741198E45B8},{B60B8EF9-D1C0-4e36-BF9B-1C16F92518DD},,,,,,25102023-07:53:00
480,,,Generalization,{C9C1BB34-7A67-4b56-B6A0-1DCDF215AD43},{8F05E7BA-E7ED-45d1-9626-C8D7FBDB2F1B},{B60B8EF9-D1C0-4e36-BF9B-1C16F92518DD},,,,,,25102023-07:53:00
481,betreft,,Association,{6212E314-EC1D-4325-B5F1-06DFC208F360},{331C4A0B-1505-4945-A0B0-DCD8703AB50F},{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},,,,,,25102023-07:53:00
482,heeft verslag,,Association,{478BEE5A-22BB-4688-9AF4-5B6A29A16BAF},{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},,,,,,25102023-07:53:00
483,heeft,,Association,{7E93A04F-3844-49ba-B1AB-F26D73012118},{98CB3C6F-588B-479f-9A2B-F5D5362DD17C},{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},,,,,,25102023-07:53:00
484,hoort bij,,Association,{97901C7A-E07B-49af-828A-2F0E03C8E795},{475E24C9-CC9A-49cc-AB80-8CA0221441E5},{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},,,,,,25102023-07:53:00
485,heeft,,Association,{E5CC9977-A6A5-4d53-B7F5-394A7C56235C},{B9B82B25-5D7F-4d2b-84F9-4DF74525EEAD},{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},,,,,,25102023-07:53:00
486,hoort bij,,Association,{1C2E6D7B-B9F0-48a9-9EB6-C68727E25A65},{331C4A0B-1505-4945-A0B0-DCD8703AB50F},{73FB5212-40ED-40dc-B837-36588840445A},,,,,,25102023-07:53:00
487,heeft,,Association,{4A5F49E9-B2F8-4ee3-AFE4-963CAF4FB6F4},{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},{73FB5212-40ED-40dc-B837-36588840445A},,,,,,25102023-07:53:00
488,behandelt,,Association,{5A64B46B-96A6-4f1c-B92A-44B925160E61},{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},{73FB5212-40ED-40dc-B837-36588840445A},,,,,,25102023-07:53:00
489,betreft,,Association,{E4F4F868-574E-4ce6-98AB-87B446913522},{435883D2-C399-4590-B4F5-B07111103484},{73FB5212-40ED-40dc-B837-36588840445A},,,,,,25102023-07:53:00
490,,,Association,{29CBC16D-7D9B-469a-8641-EC4ABE5C3795},{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},{F1E55DC7-0F33-40ea-8713-2E1AC3D7EE8D},,,,,,25102023-07:53:00
491,is,,Association,{85F0446A-CB6B-456e-91A6-3CA8C45D2550},{5772BEBB-97FA-42a9-B70D-DB55EAD6D1EE},{F1E55DC7-0F33-40ea-8713-2E1AC3D7EE8D},,,,,,25102023-07:53:00
492,betreft,,Association,{74669FE0-D963-4e2d-97C6-FE532ADE734E},{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},{435883D2-C399-4590-B4F5-B07111103484},,,,,,25102023-07:53:00
493,heeft,,Association,{E4D00870-1DF1-4693-909D-E94782A7BEF9},{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},{01E83CEC-D69D-47eb-9BAB-252AABADDD18},,,,,,25102023-07:53:00
494,wordt behandeld in,,Association,{AA12C031-2ED2-4fde-911F-CFE585E81CB0},{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},,,,,,25102023-07:53:00
495,heeft,,Association,{84B35607-9C4D-47a2-B9E0-5C20A2C477FB},{CB27D699-F82B-45ad-823A-B2B51BCAECBA},{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},,,,,,25102023-07:53:00
496,hoort bij,,Association,{A06DA05F-8BC4-497b-8A7B-05774189434F},{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},{CA56A59A-F855-4c19-89BE-578B12481EA0},,,,,,25102023-07:53:00
497,is,,Association,{16819B21-09BC-4882-9D17-6BDA1FAE308F},{98CB3C6F-588B-479f-9A2B-F5D5362DD17C},{5772BEBB-97FA-42a9-B70D-DB55EAD6D1EE},,,,,,25102023-07:53:00
498,is,,Association,{BAB2F0D0-9317-45c8-A353-9989968728B6},{98CB3C6F-588B-479f-9A2B-F5D5362DD17C},{7B9EDDFD-57F7-4ff2-938F-FDFA3B503DA8},,,,,,25102023-07:53:00
499,is,,Association,{09E484E1-ACD5-4340-B916-371787D426CF},{F1E55DC7-0F33-40ea-8713-2E1AC3D7EE8D},{7B9EDDFD-57F7-4ff2-938F-FDFA3B503DA8},,,,,,25102023-07:53:00
500,is lid van,,Association,{1DF94C0B-C6BD-4c7d-9AE2-5761713339DB},{5772BEBB-97FA-42a9-B70D-DB55EAD6D1EE},{CB27D699-F82B-45ad-823A-B2B51BCAECBA},,,,,,25102023-07:53:00
