nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-URL,GEMMA-alternate-name,GEMMA-guid,GEMMA-guid,GEMMA-type,GEMMA-type,datum-tijd-export,GGM-toelichting
568,Kostenplaats,Rekening waaraan boekingen in een financiële administratie samen worden toegeschreven.,Class,,{D90E822D-7EF8-4ea6-AF5C-4A4362577941},,,,,Kostenplaats,Rekening waaraan boekingen in een financiële administratie samen worden toegeschreven.,,,,https://gemmaonline.nl/index.php/GEMMA/id-126c564a-16fa-4e61-b52d-3af4968904d8,,126c564a-16fa-4e61-b52d-3af4968904d8,,business-object,,04062025-090332,
569,Mutatie,Wijziging van een situatie,Class,,{CB0A6B53-D263-459e-8C28-AD97E5552FFF},,,,,Mutatie,Wijziging van een situatie,"Dit kan naast getoonde mutaties nog diverse andere soorten mutaties betreffen, die handmatig worden ingevoerd, of via batches of facturen lopen: * Verkoop tot ontvangst * Inkoop tot betaling * BTW-compensatie * Vaste activa * Urenadministratie uit TIM",,,https://gemmaonline.nl/index.php/GEMMA/id-ab96da46-ed16-412b-8022-4233ce20e311,,ab96da46-ed16-412b-8022-4233ce20e311,,business-object,,04062025-090332,"Dit kan naast getoonde mutaties nog diverse andere soorten mutaties betreffen, die handmatig worden ingevoerd, of via batches of facturen lopen: * Verkoop tot ontvangst * Inkoop tot betaling * BTW-compensatie * Vaste activa * Urenadministratie uit TIM"
570,Opdrachtgever,Persoon die een opdracht verstrekt. ,Class,,{C2520FC3-622B-4edf-B911-C661B0D710FE},,,,,Opdrachtgever,Persoon die een opdracht verstrekt.,,,,https://gemmaonline.nl/index.php/GEMMA/id-7979016d-19cb-493e-904e-c7363a7930aa,,7979016d-19cb-493e-904e-c7363a7930aa,,business-object,,04062025-090332,
571,Opdrachtnemer,Partij die een opdracht aanvaardt. ,Class,,{9ABE303F-1E8D-407c-BBB8-E7DAC383E0C3},,,,,Opdrachtnemer,Partij die een opdracht aanvaardt.,,,,https://gemmaonline.nl/index.php/GEMMA/id-be336327-21c4-4d8a-9088-e04b4411204a,,be336327-21c4-4d8a-9088-e04b4411204a,,business-object,,04062025-090332,
572,Product,Het resultaat van een proces dat in het economisch verkeer een waarde bezit.,Class,,{04439F81-75DB-45cf-BE7A-352A54A95D73},,,,,Product,Het resultaat van een proces dat in het economisch verkeer een waarde bezit.,,,,https://gemmaonline.nl/index.php/GEMMA/id-d7ab242e-b050-4af7-a400-d87ce1eceb43,Product (Financien),d7ab242e-b050-4af7-a400-d87ce1eceb43,,business-object,,04062025-090332,
573,Subrekening,Ondergeschikte rekening van een hoofdrekening,Class,,{1EC60172-CB6B-40c9-9818-C7A708C8540E},,,,,,,,,,,,,,,,04062025-090332,
574,Taakveld,Een samenhangend geheel van activiteiten en taken en hangt onder een programma.,Class,,{E81C0FA0-2203-489a-98E9-32F1CB200E75},,,,,,,,,,,,,,,,04062025-090332,Een taakveld kan verbonden zijn aan een strategische opgave. Dat betekent dat het budget voor de activiteiten die nodig zijn om de opgave uit te voeren daar te vinden zijn.
575,Werkorder,Opdracht voor de uitvoering van een activiteit of een stap in een proces.,Class,,{4AF7FA48-DFB0-474f-B797-A13D5FD37530},,,,,Werkorder,Opdracht voor de uitvoering van een activiteit of een stap in een proces.,,,,https://gemmaonline.nl/index.php/GEMMA/id-5029f2d1-bad6-4813-8f59-d3f7981849e3,,5029f2d1-bad6-4813-8f59-d3f7981849e3,,business-object,,04062025-090332,
576,Beoordeling,Beoordeling is het oordeel van de professional over het functioneren van een leerling,Class,,{2A0CC803-9017-4fad-99B5-9347623090F5},,,,,Beoordeling,Beoordeling is het oordeel van de professional over het functioneren van een leerling,,,,https://gemmaonline.nl/index.php/GEMMA/id-2f8612e6-df55-40f2-a8d1-e51b22b5cf9d,,2f8612e6-df55-40f2-a8d1-e51b22b5cf9d,,business-object,,04062025-090332,
577,Declaratie,Een opgave van te vergoeden kosten.,Class,,{E611CEB2-F4FA-49e2-AA6B-B380BC1918AC},,,,,Declaratie,Een opgave van te vergoeden kosten.,,,,https://gemmaonline.nl/index.php/GEMMA/id-93ffe408-fc04-407e-ad78-1afb51b5229e,Declaratie (HR),93ffe408-fc04-407e-ad78-1afb51b5229e,,business-object,,04062025-090332,
578,Declaratiesoort,Typering van een declaratie,Class,,{9D4FB9DF-D68A-4503-96C0-272B6777A4FC},,,,,,,,,,,,,,,,04062025-090332,
579,Dienstverband,De rechtsbetrekking tussen werkgever en werknemer zoals vastgelegd in een arbeidsovereenkomst.,Class,,{63FF86E2-1BB0-48f6-8D95-3D82E8D2FA06},,,,,Dienstverband,De rechtsbetrekking tussen werkgever en werknemer zoals vastgelegd in een arbeidsovereenkomst.,,,,https://gemmaonline.nl/index.php/GEMMA/id-a3e45dca-c075-4ba9-9df2-d286b47f73ab,,a3e45dca-c075-4ba9-9df2-d286b47f73ab,,business-object,,04062025-090332,
580,Disciplinaire Maatregel,"Een besluit dat wordt opgelegd wanneer een persoon zijn verplichtingen niet of niet op de juiste wijze nakomt, of zich op andere wijze misdraagt.",Class,,{50F3F931-38F4-4ff0-8CE4-8A51056767E0},,,,,DisciplinaireMaatregel,"Een besluit dat wordt opgelegd wanneer een persoon zijn verplichtingen niet of niet op de juiste wijze nakomt, of zich op andere wijze misdraagt.",,,,https://gemmaonline.nl/index.php/GEMMA/id-fd61984f-002e-465f-90c7-6a68cc692094,,fd61984f-002e-465f-90c7-6a68cc692094,,business-object,,04062025-090332,
581,Formatieplaats,"Uitgangspunt is het vastgestelde formatieplan, dus niet de werkelijke bezetting. Het gaat hier om de toegestane formatie in fte van het ambtelijk apparaat van uw organisatie voor het begrotingsjaar
",Class,,{81EFBDCE-E500-4090-A37A-D3F799517866},,,,,Formatieplaats,"Uitgangspunt is het vastgestelde formatieplan, dus niet de werkelijke bezetting. Het gaat hier om de toegestane formatie in fte van het ambtelijk apparaat van uw organisatie voor het begrotingsjaar",,,,https://gemmaonline.nl/index.php/GEMMA/id-bd504191-10c0-436a-b0e0-fd4858a7b67d,,bd504191-10c0-436a-b0e0-fd4858a7b67d,,business-object,,04062025-090332,
582,Functie,"Een samenhangende verzameling van rollen. Een functie kan worden gedefinieerd als het samenstel van feitelijk opgedragen taken en werkzaamheden
",Class,,{F29C11C1-477C-4b90-985C-43F94D08230A},,,,,Functie,Een samenhangende verzameling van rollen. Een functie kan worden gedefinieerd als het samenstel van feitelijk opgedragen taken en werkzaamheden,,,,https://gemmaonline.nl/index.php/GEMMA/id-1f07a048-a6c6-4f10-be33-49327c1d37ec,,1f07a048-a6c6-4f10-be33-49327c1d37ec,,business-object,,04062025-090332,
583,Functiehuis,Model waarin functies van een organisatie worden beschreven.,Class,,{D69EE16A-390C-4d6f-BC01-2B13FB3B22F1},,,,,Functiehuis,Model waarin functies van een organisatie worden beschreven.,,,,https://gemmaonline.nl/index.php/GEMMA/id-b7ad73b1-bea5-48e8-acaa-d6031c3078ce,,b7ad73b1-bea5-48e8-acaa-d6031c3078ce,,business-object,,04062025-090332,
584,GenotenOpleiding,"Afgeronde opleiding, een samenhangend geheel van vakken, gericht op de verwezenlijking van welomschreven doelstellingen op het gebied van kennis, inzicht en vaardigheden",Class,,{261363C5-1E00-4b6a-B570-2129DC044010},,,,,,,,,,,,,,,,04062025-090332,
585,Geweldsincident,"Een gebeurtenis met betrekking tot agressie en omvat het veroorzaken van verwondingen of schade bij mensen, dieren, of voorwerpen. ",Class,,{41AFF74F-ADBE-4f3f-AB2F-25027A70E573},,,,,Geweldsincident,"Een gebeurtenis met betrekking tot agressie en omvat het veroorzaken van verwondingen of schade bij mensen, dieren, of voorwerpen.",,,,https://gemmaonline.nl/index.php/GEMMA/id-fddeb5c4-571e-45ec-8bde-86cc9702ff18,,fddeb5c4-571e-45ec-8bde-86cc9702ff18,,business-object,,04062025-090332,
586,Individueel Keuzebudget,Bedrag dat feitelijk beschikbaar gesteld wordt voor een individu om een bepaalde keus te kunnen maken,Class,,{B64178F1-7D37-4a77-BEF7-97E8C9DDA4E8},,,,,IndividueelKeuzebudget,Bedrag dat feitelijk beschikbaar gesteld wordt voor een individu om een bepaalde keus te kunnen maken,,,,https://gemmaonline.nl/index.php/GEMMA/id-3272f8ca-9302-4da5-810b-7b8c4d02d79b,,3272f8ca-9302-4da5-810b-7b8c4d02d79b,,business-object,,04062025-090332,
587,Inzet,Uren inzet die gepleegd wordt in een bepaalde periode op een organisatorische eenheid en het percentage dat ook daadwerkelijk wordt uitgevoerd.Dit kan afwijken van de contractuele uren.,Class,,{532191CA-13CC-4500-93C9-54AB2862F38D},,,,,,,,,,,,,,,,04062025-090332,
588,KeuzebudgetBesteding,De daadwerkelijk uitgave van een keuzebudget,Class,,{B9288D01-0B8F-4f8c-BAE1-AFD1B0EF6FDF},,,,,,,,,,,,,,,,04062025-090332,
589,KeuzebudgetBestedingsoort,Typering van een keuzebudgetbesteding,Class,,{A0051651-4772-436d-9553-B432BDCE3A52},,,,,,,,,,,,,,,,04062025-090332,
590,NormProfiel,Normprofiel of Normfunctie:nGenerieke functie zoals beschreven in HR21. Een functie kan worden gedefinieerd als het samenstel van feitelijk opgedragen taken en werkzaamheden,Class,,{E1C6E98B-20B2-43b0-8EC1-5C0905B3A139},,,,,,,,,,,,,,,,04062025-090332,
591,Onderwijsinstituut,Een instituut waar onderwijs wordt gegeven.,Class,Onderwijsinstelling,{59F3063A-13A6-4cbc-A387-045A6B126746},,,,,Onderwijsinstituut,Een instituut waar onderwijs wordt gegeven.,,Onderwijsinstelling,,https://gemmaonline.nl/index.php/GEMMA/id-85452d63-8236-431f-9dde-cebfc88112b0,,85452d63-8236-431f-9dde-cebfc88112b0,,business-object,,04062025-090332,
592,Opleiding,"Een samenhangend geheel van vakken, gericht op de verwezenlijking van welomschreven doelstellingen op het gebied van kennis, inzicht en vaardigheden.",Class,,{E07D60DE-CD26-4cef-A18B-6F72CC76C1B6},,,,,Opleiding,"Een samenhangend geheel van vakken, gericht op de verwezenlijking van welomschreven doelstellingen op het gebied van kennis, inzicht en vaardigheden.",,,,https://gemmaonline.nl/index.php/GEMMA/id-affa85b2-1e80-4642-bb30-335dd9677094,,affa85b2-1e80-4642-bb30-335dd9677094,,business-object,,04062025-090332,
593,OrganisatorischeEenheidHR,Specialisatie van de Organisatorische eenheid uit het RGBZ voor het HR domein.,Class,,{53B0C49F-1BDE-4fee-BB0B-0D82517177CC},,,,,,,,,,,,,,,,04062025-090332,
594,Relatie,"Betrekking waarin personen, zaken, begrippen of grootheden van nature tot elkaar staan.",Class,,{FE559B58-A6CD-4108-82BE-98E1AEBFD9BD},,,,,Relatie,"Betrekking waarin personen, zaken, begrippen of grootheden van nature tot elkaar staan.",,,,https://gemmaonline.nl/index.php/GEMMA/id-24e40e1f-4e7b-47ad-a1b3-4050e365f68a,Relatie (HR),24e40e1f-4e7b-47ad-a1b3-4050e365f68a,,business-object,,04062025-090332,
595,Rol,"De rol van de medewerker, zoals afdelingshoofd of manager",Class,,{BF424764-453D-46cc-817C-3A7BDC4134A7},,,,,Rol,"De rol van de medewerker, zoals afdelingshoofd of manager",,,,https://gemmaonline.nl/index.php/GEMMA/id-4adcc34d-9843-4735-9abb-48d9d58eab0c,Rol (HR),4adcc34d-9843-4735-9abb-48d9d58eab0c,,business-object,,04062025-090332,
596,Sollicitant,Persoon die werk zoekt,Class,,{131BDD67-2A31-43c5-9125-F12DE2D98D2D},,,,,Sollicitant,Persoon die werk zoekt,,,,https://gemmaonline.nl/index.php/GEMMA/id-ddefe4a6-d89c-432d-b27a-b96cb575b16a,,ddefe4a6-d89c-432d-b27a-b96cb575b16a,,business-object,,04062025-090332,
597,Sollicitatie,Verzoek om in een functie te worden aangesteld.,Class,,{3BD1368C-23F1-4f42-99DB-C81581A646A0},,,,,Sollicitatie,Verzoek om in een functie te worden aangesteld.,,,,https://gemmaonline.nl/index.php/GEMMA/id-3dbc7681-e73c-46c5-80bc-434afc971eef,,3dbc7681-e73c-46c5-80bc-434afc971eef,,business-object,,04062025-090332,
598,Sollicitatiegesprek,Onderhoud tussen sollicitant en werkgever met betrekking tot een sollicatie,Class,,{1D4DA0E6-DA20-4ff7-A415-B937712C6F6D},,,,,Sollicitatiegesprek,Onderhoud tussen sollicitant en werkgever met betrekking tot een sollicatie,,,,https://gemmaonline.nl/index.php/GEMMA/id-565033f9-9a69-4d65-ad37-f1d17ea3e937,,565033f9-9a69-4d65-ad37-f1d17ea3e937,,business-object,,04062025-090332,
599,SoortDisciplinaireMaatregel,Typering van een disciplinaire maatregel,Class,,{B0747DFC-DFC8-4ef2-8E1E-C2E8606036FC},,,,,,,,,,,,,,,,04062025-090332,
600,Uren,Aantal besteedde uren aan een activiteit,Class,,{93165DEC-ECB7-4225-9484-E1727524A1B5},,,,,,,,,,,,,,,,04062025-090332,
601,Vacature,Een arbeidsplaats binnen een bedrijf of organisatie die nog gevuld dient te worden door werkzoekenden.,Class,,{DC978807-5F36-4148-B816-D6886D026DD8},,,,,Vacature,Een arbeidsplaats binnen een bedrijf of organisatie die nog gevuld dient te worden door werkzoekenden.,,,,https://gemmaonline.nl/index.php/GEMMA/id-bd6c1561-9387-409b-a16b-99e79492ad3d,,bd6c1561-9387-409b-a16b-99e79492ad3d,,business-object,,04062025-090332,
602,Verlof,"Een periode waarin iemand toestemming heeft om iets te doen, in het bijzonder om afwezig te zijn.",Class,,{D04135BF-C2F0-46dd-B332-F1BE36C358EF},,,,,Verlof,"Een periode waarin iemand toestemming heeft om iets te doen, in het bijzonder om afwezig te zijn.",,,,https://gemmaonline.nl/index.php/GEMMA/id-9ba143bc-5214-4998-9041-b3dc1c22fe77,,9ba143bc-5214-4998-9041-b3dc1c22fe77,,business-object,,04062025-090332,
603,Verlofsoort,Typering van verlof,Class,,{ED741EE1-E773-40e3-B0E6-8D9886EB792F},,,,,,,,,,,,,,,,04062025-090332,
604,Verzuim,Een afwezigheid van een werknemer van werk.,Class,,{610B18E6-B675-4cc0-A883-BAB9D384C668},,,,,Verzuim,Een afwezigheid van een werknemer van werk.,,,,https://gemmaonline.nl/index.php/GEMMA/id-c024eb06-53f7-4793-91d6-6e249ee119dc,,c024eb06-53f7-4793-91d6-6e249ee119dc,,business-object,,04062025-090332,
605,Verzuimsoort,Typologie van verzuim,Class,,{45900108-585D-45ec-A042-BF4928B7F6DC},,,,,,,,,,,,,,,,04062025-090332,
606,Werknemer,De contractuele wederpartij van de werkgever bij de arbeidsovereenkomst.,Class,,{BBBB63AC-B546-409b-B6D4-53DB561253B7},,,,,Werknemer,De contractuele wederpartij van de werkgever bij de arbeidsovereenkomst.,,,,https://gemmaonline.nl/index.php/GEMMA/id-8c200706-b80b-44f7-9928-bec39e0db21f,,8c200706-b80b-44f7-9928-bec39e0db21f,,business-object,,04062025-090332,
607,Aanbesteding,"Kan een (enkel of meervoudige) onderhandse aanbesteding, of een nationale of Europese aanbesteding ",Class,,{44EC6082-2682-43c7-A52E-0AD05B06A046},,,,,Aanbesteding,"Kan een (enkel of meervoudige) onderhandse aanbesteding, of een nationale of Europese aanbesteding",,,,https://gemmaonline.nl/index.php/GEMMA/id-bc6f065d-05c9-454d-a18d-1c0c2a2dfe15,,bc6f065d-05c9-454d-a18d-1c0c2a2dfe15,,business-object,,04062025-090332,
608,Aanbesteding Inhuur,Aanbesteding voor inhuur van personen of diensten,Class,,{01D90490-C76A-444a-BFCE-355AFC5FB012},,,,,AanbestedingInhuur,Aanbesteding voor inhuur van personen of diensten,,,,https://gemmaonline.nl/index.php/GEMMA/id-686c0af1-67b2-42a4-8690-060705617c13,,686c0af1-67b2-42a4-8690-060705617c13,,business-object,,04062025-090332,
609,Aankondiging,Aankondiging van een Nationale of Europese aanbesteding,Class,"Kennisgeving, Bekendmaking",{BB135B0E-A2C2-4681-BD91-30863F8B3D70},,,,,Aankondiging,Aankondiging van een Nationale of Europese aanbesteding,,"Kennisgeving, Bekendmaking",,https://gemmaonline.nl/index.php/GEMMA/id-11a5fd2d-0237-4e70-b859-d1e26456553b,,11a5fd2d-0237-4e70-b859-d1e26456553b,,business-object,,04062025-090332,
610,Aanvraag Inkooporder,het betreft hier het formulier 'Aanvraag Inkooporder',Class,,{33E5EA10-F43A-4966-B9C1-875F0E2C1B52},,,,,AanvraagInkooporder,het betreft hier het formulier 'Aanvraag Inkooporder',,,,https://gemmaonline.nl/index.php/GEMMA/id-8d9233d7-dfb9-4b87-bab2-61631a632f95,,8d9233d7-dfb9-4b87-bab2-61631a632f95,,business-object,,04062025-090332,
611,Categorie,Categorie waarop leveranciers zich voor de levering van personeel voor kunnen kwalificeren,Class,,{6CA060D0-C5AC-4b50-8B64-00DCAEA7EF48},,,,,,,,,,,,,,,,04062025-090332,
612,Contract,Bindende overeenkomst,Class,,{9FBF9FB8-B28D-4733-8443-607B8498F446},,,,,Contract,Bindende overeenkomst,,,,https://gemmaonline.nl/index.php/GEMMA/id-f96af00f-2933-42d0-aacf-58ccb4a0ef52,,f96af00f-2933-42d0-aacf-58ccb4a0ef52,,business-object,,04062025-090332,
613,CPV-code,"De Common Procurement Vocabulary (CPV-codes) is een gemeenschappelijke woordenlijst van de EU, alle mogelijke soorten overheidsopdrachten voor diensten, leveringen en werken hebben een eigen code gekregen. Aanbestedende diensten moeten bij Europese aanbestedingen dit classificatiesysteem toepassen.",Class,,{6A4CF470-3B0E-4141-9DB6-C9E8A525CB49},,,,,CPVCode,"De Common Procurement Vocabulary (CPV-codes) is een gemeenschappelijke woordenlijst van de EU, alle mogelijke soorten overheidsopdrachten voor diensten, leveringen en werken hebben een eigen code gekregen. Aanbestedende diensten moeten bij Europese aanbes",,,,https://gemmaonline.nl/index.php/GEMMA/id-b6c26d6b-c773-4b50-ba03-a8463f23889a,,b6c26d6b-c773-4b50-ba03-a8463f23889a,,business-object,,04062025-090332,
614,FormulierInhuur,Formulier ten behoeve van inhuur personeel,Class,,{B598FF22-CDD0-486f-B528-99421D0FA608},,,,,,,,,,,,,,,,04062025-090332,
615,FormulierVerlengingInhuur,Formulier ten behoeve van verlenging inhuur personeel,Class,,{1D87490A-9F07-424f-BE6F-5E9C11376B05},,,,,,,,,,,,,,,,04062025-090332,
616,Gunning,"Gunning van een (enkel of meervoudige) onderhandse aanbesteding, of een nationale of Europese aanbesteding 
Of voor levering personeel",Class,,{3FB9B466-D147-42d7-99D1-2D14A007D16C},,,,,Gunning,"Gunning van een (enkel of meervoudige) onderhandse aanbesteding, of een nationale of Europese aanbesteding 
Of voor levering personeel",,,,https://gemmaonline.nl/index.php/GEMMA/id-70e40543-6a99-433d-8a01-f4273e308410,,70e40543-6a99-433d-8a01-f4273e308410,,business-object,,04062025-090332,
617,Inkooppakket,"Standaard indeling om de werken, diensten en leveringen die de aanbestedende dienst helpt bij het structureren van haar uitgaven. Samenhangende leveringen, diensten en producten zijn hierin gegroepeerd. ",Class,,{170AF8F5-8952-407a-91C4-EAF910DE3304},,,,,,,,,,,,,,,,04062025-090332,
618,Inschrijving,"Inschrijving op een nationale of Europese aanbesteding 
",Class,,{2902E8D6-FF16-45d6-A0A4-47E2857D2D19},,,,,Inschrijving,Inschrijving op een nationale of Europese aanbesteding,,,,https://gemmaonline.nl/index.php/GEMMA/id-e1c425c1-a3fe-4144-907d-13da8d9fb5cc,Inschrijving (Inkoop),e1c425c1-a3fe-4144-907d-13da8d9fb5cc,,business-object,,04062025-090332,
619,Kandidaat,Iemand die een bepaalde baan of functie wil ,Class,Gegadigde,{75B4E818-5ECD-45c5-98F9-66F57FC6117E},,,,,Kandidaat,Iemand die een bepaalde baan of functie wil,,Gegadigde,,https://gemmaonline.nl/index.php/GEMMA/id-dc97ebf4-61ee-47f6-a108-af6bb4a276f7,,dc97ebf4-61ee-47f6-a108-af6bb4a276f7,,business-object,,04062025-090332,
620,Kwalificatie,Kwalifificatie voor een nationale of europese aanbesteding,Class,,{AB2AED85-D2B0-45cf-9B1F-C6005E894494},,,,,,,,,,,,,,,,04062025-090332,
621,Leverancier,Een niet-natuurlijk persoon die een product of dienst levert aan de organisatie,Class,,{EA7FE08E-34F7-45d2-BE2E-E4E3B8333BF3},,,,,Leverancier,Een niet-natuurlijk persoon die een product of dienst levert aan de organisatie,,,,https://gemmaonline.nl/index.php/GEMMA/id-113af80a-7e3e-41f6-8f79-8d0d48c4c257,,113af80a-7e3e-41f6-8f79-8d0d48c4c257,,business-object,,04062025-090332,
622,Offerte,"Aanbod, aanbieding of voorstel van goederen of diensten waarin opgave is gedaan van de prijs. ",Class,,{BF21FFA3-3EA6-410a-BC65-7BE5547646B6},,,,,Offerte,"Aanbod, aanbieding of voorstel van goederen of diensten waarin opgave is gedaan van de prijs.",,,,https://gemmaonline.nl/index.php/GEMMA/id-6d31df7d-b7f9-4f50-be9f-eaf05c697f6e,Offerte (Inkoop),6d31df7d-b7f9-4f50-be9f-eaf05c697f6e,,business-object,,04062025-090332,
623,Offerteaanvraag,Aanbesteding bij inschrijving,Class,,{1EF1AC66-9563-4cdd-AE78-0878D651907A},,,,,Offerteaanvraag,Aanbesteding bij inschrijving,,,,https://gemmaonline.nl/index.php/GEMMA/id-1b3c3c06-c7e9-40c0-8fa1-dbbc3c23152f,,1b3c3c06-c7e9-40c0-8fa1-dbbc3c23152f,,business-object,,04062025-090332,
624,SelectietabelAanbesteding,Gebaseerd op het procedureoverzicht inkoop. Hierin kan de tabel met drempelbedragen en bijbehorende procedures worden opgeslagen,Class,,{B2BD6C5B-460E-4f2a-9B78-3E101DAD8D6B},,,,,,,,,,,,,,,,04062025-090332,
625,StartformulierAanbesteden,Formulier voor het starten van een aanbeseding,Class,,{7694A657-22D8-4b00-AAE2-A78EF014B43A},,,,,,,,,,,,,,,,04062025-090332,
626,Uitnodiging,Een verzoek om iets bij te wonen.,Class,Invitatie,{BB182A6F-6935-4702-ABEA-B96E32A40B02},,,,,Uitnodiging,Een verzoek om iets bij te wonen.,,Invitatie,,https://gemmaonline.nl/index.php/GEMMA/id-16b98915-5c5e-4933-bfc0-9db634c47acb,,16b98915-5c5e-4933-bfc0-9db634c47acb,,business-object,,04062025-090332,
627,Programma,"Een tijdelijke, flexibele organisatiestructuur, die is opgezet om de implementatie van een verzameling met elkaar samenhangende projecten en activiteiten te co√∂rdineren, te sturen en te controleren teneinde te zorgen voor de realisatie van de eindresultaten en benefits die zijn gerelateerd aan de strategische doelstellingen van de organisatie.",Class,,{0E19C86B-9088-41bd-9DD0-15094426570E},,,,,Programma,"Een tijdelijke, flexibele organisatiestructuur, die is opgezet om de implementatie van een verzameling met elkaar samenhangende projecten en activiteiten te co√∂rdineren, te sturen en te controleren teneinde te zorgen voor de realisatie van de eindresulta",,,,https://gemmaonline.nl/index.php/GEMMA/id-5c865df8-3c62-4302-9a7b-eb5bd9ba6785,Programma (Organisatie),5c865df8-3c62-4302-9a7b-eb5bd9ba6785,,business-object,,04062025-090332,
628,Project,"Geheel van activiteiten uitgevoerd in een tijdelijk samenwerkingsverband gericht op het binnen bepaalde randvoorwaarden (bv. tijd, geld) bereiken van een vooraf gedefinieerd resultaat.",Class,,{7087D528-7024-4569-876A-C4605A00546D},,,,,Project,"Geheel van activiteiten uitgevoerd in een tijdelijk samenwerkingsverband gericht op het binnen bepaalde randvoorwaarden (bv. tijd, geld) bereiken van een vooraf gedefinieerd resultaat.",,,,https://gemmaonline.nl/index.php/GEMMA/id-132ee7cb-0cfc-47d1-a50c-dd7e3a656651,Project (Organisatie),132ee7cb-0cfc-47d1-a50c-dd7e3a656651,,business-object,,04062025-090332,
629,Aanvraagdata,"Bron: GEN_REQ_DATA
ID: REQ_DATA icm VELD_NAAM",Class,,{1F68C981-7E16-4368-8867-CA00AEB08A04},,,,,Aanvraagdata,"Bron: GEN_REQ_DATA
ID: REQ_DATA icm VELD_NAAM",,,,https://gemmaonline.nl/index.php/GEMMA/id-6f15e2ca-531d-4879-b087-f43559d8c3fd,,6f15e2ca-531d-4879-b087-f43559d8c3fd,,business-object,,04062025-090332,
630,AanvraagOfMelding,"Komt overeen met een VJV

Bron: GEM_VJV (Distinct op REQ_ID)
ID: REQ_ID",Class,,{8E6BAEF8-1878-400f-9244-23575BD41EAB},,,,,AanvraagOfMelding,"Komt overeen met een VJV

Bron: GEM_VJV (Distinct op REQ_ID)
ID: REQ_ID",,,,https://gemmaonline.nl/index.php/GEMMA/id-f14fa1cf-f2c7-4bd6-862d-28ff1616a882,AanvraagOfMelding (Dienstverlening),f14fa1cf-f2c7-4bd6-862d-28ff1616a882,,business-object,,04062025-090332,
631,Afspraakstatus,de toestand van de afspraak,Class,,{5AA9821A-A88A-480b-9950-70FE017593B3},,,,,Afspraakstatus,,,,,https://gemmaonline.nl/index.php/GEMMA/id-93731fcf-2b7f-42f2-9f94-6f6f80ce0067,,93731fcf-2b7f-42f2-9f94-6f6f80ce0067,,business-object,,04062025-090332,
632,Artikel,"Tekst die is gemaakt om gepubliceerd te worden als een onafhankelijk deel van een tijdschrift, krant, encyclopedie of ander werk",Class,,{F38E71BC-DDA2-4a9c-A438-C486EC4C4646},,,,,Artikel,"Tekst die is gemaakt om gepubliceerd te worden als een onafhankelijk deel van een tijdschrift, krant, encyclopedie of ander werk",,,,https://gemmaonline.nl/index.php/GEMMA/id-1054f6c9-2c53-4bf9-ad9f-04851ce71a4a,,1054f6c9-2c53-4bf9-ad9f-04851ce71a4a,,business-object,,04062025-090332,
633,Balieafspraak,"Balieafspraken zijn afspraken voor een klantcontact. Dit ongeacht of deze werkelijk heeft plaatsgevonden of gaat plaatsvinden, soms liggen deze in de toekomst of is iemand niet op komen dagen, of iets anders waardoor het klantcontact nog niet heeft plaatsgevonden.",Class,,{631FEEF1-88D3-4d18-ADB2-BF999068493E},,,,,Balieafspraak,"Balieafspraken zijn afspraken voor een klantcontact. Dit ongeacht of deze werkelijk heeft plaatsgevonden of gaat plaatsvinden, soms liggen deze in de toekomst of is iemand niet op komen dagen, of iets anders waardoor het klantcontact nog niet heeft plaats","Dit ongeacht of deze werkelijk heeft plaatsgevonden of gaat plaatsvinden, soms liggen deze in de toekomst of is iemand niet op komen dagen, of iets anders waardoor het klantcontact nog niet heeft plaatsgevonden.",,,https://gemmaonline.nl/index.php/GEMMA/id-8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,,8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,,business-object,,04062025-090332,"Dit ongeacht of deze werkelijk heeft plaatsgevonden of gaat plaatsvinden, soms liggen deze in de toekomst of is iemand niet op komen dagen, of iets anders waardoor het klantcontact nog niet heeft plaatsgevonden."
634,ExterneBron,Bron buiten de eigen organisatie,Class,,{841FC453-80B3-4389-A91F-9498FDC629CF},,,,,,,,,,,,,,,,04062025-090332,
635,Formuliersoort,"Bron: GEM_FORM
ID: FORM_ID",Class,,{0567826D-81EE-4bbd-8D62-3073B74CDF11},,,,,,,,,,,,,,,,04062025-090332,
636,Formuliersoortveld,"Bron: GEM_VELD
ID: FORM_ID en VELD_NAAM",Class,,{E512AEFD-85FB-4b57-82FE-709221307861},,,,,,,,,,,,,,,,04062025-090332,
637,Klantbeoordeling,"goed- of afkeurende uitspraak; = mening, opvatting",Class,,{881F95F7-7096-49ab-B1CA-4D9FA93BB4A9},,,,,,,,,,,,,,,,04062025-090332,
638,Klantbeoordelingreden,Reden voor de beoordeling,Class,,{40394EFE-AD3E-4fd9-B9FC-AF73442AF625},,,,,,,,,,,,,,,,04062025-090332,
