nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-URL,GEMMA-alternate-name,GEMMA-guid,GEMMA-type,datum-tijd-export,GGM-toelichting
526,Objectrelatierol,,Enumeration,,{0D0C34BC-D054-45b0-BDB6-3F32F65E51CB},,,,,,,,,,,,,,17042024-14:45:57,
527,TypeAdresseerbaarObject,,Enumeration,,{3DD4320F-CA3A-40c9-BB16-40064717EC8B},,,,,,,,,,,,,,17042024-14:45:57,
528,Zakelijkrecht,,Enumeration,,{0B6706E7-4CF8-42d8-90EA-BDD1F5588D3F},,,,,,,,,,,,,,17042024-14:45:57,
529,Bedrijf,,Class,,{1D4A982F-DA6E-408a-A0C9-60F3D5FE2008},,,,,,,,,,,,,,17042024-14:45:57,
530,Activa,Bezittingen van een onderneming op een boekhoudkundige balans,Class,,{7B8D0A8F-07BF-42bf-90B3-28A72BD4401A},,,,,Activa,Bezittingen van een onderneming op een boekhoudkundige balans,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-e83e86ad-4769-41ce-91c7-675e93441074,,e83e86ad-4769-41ce-91c7-675e93441074,business-object,17042024-14:45:57,
531,Activasoort,Typering van activa,Class,,{2483BD14-7FA7-4514-A565-C7F7967E226D},,,,,,,,,,,,,,17042024-14:45:57,
532,Bankafschrift,Overzicht van de bij- en afschrijvingen van een rekening,Class,,{FC698CC3-7A64-4991-A751-B3B2A5DF77E3},,,,,,,,,,,,,,17042024-14:45:57,
533,Bankafschriftregel,Een item op het bankafschrift,Class,,{764CE125-55C1-480d-90BA-745484CF3FC0},,,,,,,,,,,,,,17042024-14:45:57,
534,Bankrekening,Een rekening-courant bij een bank,Class,,{D87012E0-D2EB-4333-AD6C-1E43E6857304},,,,,Bankrekening,Een rekening-courant bij een bank,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-a353735d-326c-48fd-9f74-0192ba6e414a,,a353735d-326c-48fd-9f74-0192ba6e414a,business-object,17042024-14:45:57,
535,Batch,Verzameling van posten die in het kader van automatische verwerking een logisch geheel vormen. ,Class,,{A784A0ED-4451-4a92-B7C8-ABE528BA898F},,,,,Batch,Verzameling van posten die in het kader van automatische verwerking een logisch geheel vormen.,Bijvoorbeeld alle betalingen die op een dag ter verwerking in de computers aangeboden worden.,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-4499a4ec-1e22-4a1c-968a-ad3dbb7be6a1,,4499a4ec-1e22-4a1c-968a-ad3dbb7be6a1,business-object,17042024-14:45:57,Bijvoorbeeld alle betalingen die op een dag ter verwerking in de computers aangeboden worden.
536,Batchregel,Een item uit een batch,Class,,{9F935C8B-5B7C-4ce4-9360-04A91F4F70CC},,,,,Batchregel,Een item uit een batch,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-4abf6a6b-2045-4961-b70f-c6f664e9261c,,4abf6a6b-2045-4961-b70f-c6f664e9261c,business-object,17042024-14:45:57,
537,Begroting,Een overzicht van de verwachte ontvangsten en voorziene uitgaven voor een bepaalde (meestal toekomstige) periode zodat hier een afstemming tussen plaats kan vinden om eventuele tekorten en overschotten vroegtijdig in kaart te kunnen brengen. ,Class,,{C95CF400-8487-4ff3-B475-CA1E01EBCA78},,,,,Begroting,Een overzicht van de verwachte ontvangsten en voorziene uitgaven voor een bepaalde (meestal toekomstige) periode zodat hier een afstemming tussen plaats kan vinden om eventuele tekorten en overschotten vroegtijdig in kaart te kunnen brengen.,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-87fdbae1-7e9e-46a4-8043-3d77bd5903ac,,87fdbae1-7e9e-46a4-8043-3d77bd5903ac,business-object,17042024-14:45:57,
538,Begrotingregel,Een item op de begroting,Class,,{87964E36-9FEE-4b8f-A053-C4EDAF000646},,,,,Begrotingregel,Een item op de begroting,Een begrotingsregel betreft #. een combinatie van hoofdstuk met optioneel doelstelling met optioneel product of #. een kostenplaats met 1 of meer hoofdrekeningen,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-ecb0f96e-e66d-48fb-ade1-416366d1b18e,,ecb0f96e-e66d-48fb-ade1-416366d1b18e,business-object,17042024-14:45:57,Een begrotingsregel betreft #. een combinatie van hoofdstuk met optioneel doelstelling met optioneel product of #. een kostenplaats met 1 of meer hoofdrekeningen
539,Debiteur,Iemand aan wie een dienst of product geleverd is waardoor recht op een vergoeding is ontstaan,Class,Schuldenaar,{E74D0D46-66EB-4deb-A540-7AB08E95F956},,,,,Debiteur,Iemand aan wie een dienst of product geleverd is waardoor recht op een vergoeding is ontstaan,,Schuldenaar,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-e21e51ee-3a32-444b-80c7-b6694ff37253,,e21e51ee-3a32-444b-80c7-b6694ff37253,business-object,17042024-14:45:57,
540,Doelstelling,Een op korte of middellange termijn nagestreefde situatie,Class,,{2FFE3BAD-CB0E-43ea-A435-FD693B9255C3},,,,,Doelstelling,Een op korte of middellange termijn nagestreefde situatie,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-2bd07fb4-4cfb-4d89-ac99-cb2377decd2d,Doelstelling (Financien),2bd07fb4-4cfb-4d89-ac99-cb2377decd2d,business-object,17042024-14:45:57,
541,Factuur,Schriftelijke rekening of nota voor de geleverde zaken of verrichte diensten.,Class,,{E1DA56C3-6ECA-4ec9-8CF4-FC57E1C43102},,,,,Factuur,Schriftelijke rekening of nota voor de geleverde zaken of verrichte diensten.,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-e3c92496-53d2-473e-9643-9774cdda2891,,e3c92496-53d2-473e-9643-9774cdda2891,business-object,17042024-14:45:57,
542,Factuurregel,Een item op de factuur,Class,,{65E960EA-CC92-4af1-AF2B-B4625FA6AEA0},,,,,,,,,,,,,,17042024-14:45:57,
