"nr","naam","definitie","uml-type","ggm-guid","bron","domein-iv3","archimate-type","toelichting","gemma-guid","synoniemen","domein-dcat","domein-gemma","datum-tijd-export"
"519","Locatie (Generiek)","De locatie beschrijft middels co√∂rdinaten de ruimtelijke dimensie of ruimtelijke afbakening van een regel of van een objecttype die in de regel beschreven wordt. (CIMOW)","Class","{79284529-B817-4e3f-BE51-AEAFC60BDE44}","https://thesaurus.cultureelerfgoed.nl/concept/aot:958543a5-6438-467b-abf2-872e027f395d/nl","Generiek","Business object","","id-79284529-b817-4e3f-be51-aeafc60bde44","","","","28062023-11:06:06"
"520","Locatie (Onderwijs)","De locatie beschrijft middels co√∂rdinaten de ruimtelijke dimensie of ruimtelijke afbakening van een regel of van een objecttype die in de regel beschreven wordt. (CIMOW)","Class","{3119A4DB-BB23-4adc-98BD-82F2D7996C6B}","","Onderwijs","Data object","","id-3119a4db-bb23-4adc-98bd-82f2d7996c6b","","","","28062023-11:06:06"
"521","Locatie kadastrale onroerende zaak","Deze wordt gebruikt om één of meer locatieaanduiding(en) van een onroerende zaak weer te geven.","Class","{1ECAEB3C-EBE2-4afb-8D34-6AFEEFDF3FCA}","","Groepattribuutsoort","Data object","","id-1ecaeb3c-ebe2-4afb-8d34-6afeefdf3fca","","","","28062023-11:06:06"
"522","LOCATIEAANDUIDING ADRES WOZ OBJECT","Nadere aanduiding van het WOZ-object middels een locatieomschrijving van ADRESSEERBAAR OBJECT AANDUIDING.","Class","{DF81069D-CBE4-433e-AB7C-CB06170275C9}","","Relatieklasse","Business object","","id-df81069d-cbe4-433e-ab7c-cb06170275c9","","","","28062023-11:06:06"
"523","LOCATIEAANDUIDING OPENBARE RUIMTE","Nadere aanduiding van het WOZ-object middels een locatieomschrijving van de OPENBARE RUIMTE","","","","","Business object","","id-703f7bb2-6d05-6f98-18d3-0d182c4993c0","","","","28062023-11:06:06"
"524","LOCATIEAANDUIDING WOZ OBJECT","Nadere aanduiding van het WOZ-object","Class","{0B3F8A89-F21E-4bea-9620-8D6713AB632C}","","Vastgoed","Business object","","id-0b3f8a89-f21e-4bea-9620-8d6713ab632c","","","","28062023-11:06:06"
"525","LocatieOnroerendeZaak ","Locatie van een geregistreerd goed","Class","{049E7FD0-D515-4057-9C87-A09980C5DE6A}","","Vastgoed","Data object","","id-049e7fd0-d515-4057-9c87-a09980c5de6a","","","","28062023-11:06:06"
"526","Log","Registratie van gegevens.","Class","{5492ED6D-608E-465e-B975-BCADAAA3EE7F}","https://data.crow.nl/thesaurus/term/8E9E9028-385A-41B4-B9BC-8457A89EC655","ICT","Data object","","id-5492ed6d-608e-465e-b975-bcadaaa3ee7f","","","","28062023-11:06:06"
"527","Logboek","Registratie waarin gebeurtenissen worden bijgehouden.","Class","{B1D48EFB-81E7-420d-A080-5B4C01798FFB}","","Ruimte","Data object","","id-b1d48efb-81e7-420d-a080-5b4c01798ffb","","","","28062023-11:06:06"
"528","Loopbaanstap","Een logische en ook uitdagende stap naar een volgende functie binnen dezelfde functiefamilie of een andere, op hetzelfde schaalniveau of op een schaalniveau hoger.","Class","{0E3DE26B-C535-4a03-98A4-8D36DC3D5297}","https://www.functiegebouwrijksoverheid.nl/mijn-loopbaan/loopbaanstappen","Onderwijs","Business object","","id-0e3de26b-c535-4a03-98a4-8d36dc3d5297","","","","28062023-11:06:06"
"529","Maatregelen","Beschrijft welke handelingen iemand moet uitvoeren om aan Voorschriften te kunnen voldoen.","Class","{45591365-C55F-4735-9533-D3BBB0AB6571}","http://standaarden.omgevingswet.overheid.nl/imtr/id/concept/Maatregelen","Omgevingswet","Business object","","id-45591365-c55f-4735-9533-d3bbb0ab6571","","","","28062023-11:06:06"
"530","MAATSCHAPPELIJKE ACTIVITEIT","Een verband tussen één of meer personen met voldoende mate van zelfstandigheid, inbreng van arbeid of middelen, winstoogmerk en extern optreden (i.g.v. een onderneming) dan wel een in een organisatorisch verband, dat toebehoort aan een niet-natuurlijk persoon welke registratieplichtig is, uitgeoefende activiteit die niet valt onder de criteria voor onderneming of bedrijfsmatigheid welke adresseerbaar is middels ofwel een vestiging ofwel het adres van een bepaalde vertegenwoordiger (i.g.v. een niet-ondernemings-activiteit).","Class","{3DC85114-5C3F-4930-B98B-6EB6ED71FC2E}","https://www.gemmaonline.nl/index.php/Informatiemodel_Basis-_en_Kerngegevens_(RSGB)","RSGB Model","Business object","","id-3dc85114-5c3f-4930-b98b-6eb6ed71fc2e","","","","28062023-11:06:06"
"531","Magazijnlocatie","Locatie van een magazijn","Class","{4C1543FD-250B-4291-9B23-BC9D3D9C0C4A}","","Erfgoed: Archeologie","Data object","","id-4c1543fd-250b-4291-9b23-bc9d3d9c0c4a","","","","28062023-11:06:06"
"532","Magazijnplaatsing","Het ergens neerzetten van een object in een magazijn.","Class","{F954FB72-AE88-4a0e-A3D8-555FCF8D9C9F}","","Erfgoed: Archeologie","Data object","","id-f954fb72-ae88-4a0e-a3d8-555fcf8d9c9f","","","","28062023-11:06:06"
"533","Mailing","Per post verstuurde inhoud","Class","{48BCF2C2-609C-4e4c-991E-8BDA80E0C7C7}","","Museum Prinsenhof","Data object","","id-48bcf2c2-609c-4e4c-991e-8bda80e0c7c7","","","","28062023-11:06:06"
"534","Mast","Draagconstructie, bestaande uit een verticale buispaal, die wordt gebruikt om iets op hoogte te brengen.","Class","{CDF116D4-B5B9-4D01-8A5B-4FFB08CEE00}","","Ruimte","Business object","","id-cdf116d4-b5b9-4d01-8a5b-4ffb08cee00","","","","28062023-11:06:06"
"535","Materiële historie","","Class","{3D63DBCE-3FD5-4988-81D5-93A2D01A9D99}","","Metagegevens","Data object","","id-3d63dbce-3fd5-4988-81d5-93a2d01a9d99","","","","28062023-11:06:06"
"536","MEDEWERKER","<font color=""#610e6a"">Een medewerker van de organisatie die zaken behandelt uit hoofde van zijn of haar functie binnen een ORGANISATORISCHE EENHEID.</font>","Class","{16EB3936-03CB-4854-9CD8-9F0911EEA51B}","https://www.gemmaonline.nl/index.php/Informatiemodel_Basis-_en_Kerngegevens_(RSGB)","RGBZ Model","Business object","","id-16eb3936-03cb-4854-9cd8-9f0911eea51b","","","","28062023-11:06:06"
"537","Melding (Afval)","De betekenisvolle formulering van een waargenomen feit, waaraan een waarde kan worden toegekend","Class","{8A02DCF5-E568-4d45-96A2-FD4FB53F414C}","","Afval","Data object","","id-8a02dcf5-e568-4d45-96a2-fd4fb53f414c","","","","28062023-11:06:06"
"538","Melding (ICT)","De betekenisvolle formulering van een waargenomen feit, waaraan een waarde kan worden toegekend","Class","{6100B3C7-FBCE-434d-BA48-E067B9CF84A7}","https://definities.geostandaarden.nl/nen3610-2022/id/begrip/gegeven","ICT","Business object","","id-6100b3c7-fbce-434d-ba48-e067b9cf84a7","Datapunt","","","28062023-11:06:06"
"539","Melding (Ruimte)","De betekenisvolle formulering van een waargenomen feit, waaraan een waarde kan worden toegekend","Class","{C6094F79-D8EA-4763-90DF-4E30EFABA1FA}","","Ruimte","Data object","","id-c6094f79-d8ea-4763-90df-4e30efaba1fa","","","","28062023-11:06:06"
"540","Melding Eigen bijdrage","Aangifte van de evetuele eigen bijdrage","Class","{A9D093FB-B3D1-46e5-B263-6C4D61F0C5D1}","","Generiek Jeugd en Wmo","Business object","","id-a9d093fb-b3d1-46e5-b263-6c4d61f0c5d1","","","","28062023-11:06:06"
"541","MeldingOngeval","Aangifte vna een ongeval","Class","{A888F22C-45E9-4494-BA66-533FB1F6C37E}","","Ruimte","Business object","","id-a888f22c-45e9-4494-ba66-533fb1f6c37e","","","","28062023-11:06:06"
"542","Meubilair","De verzameling van ruimtelijke objecten ter inrichting van de openbare ruimte of terreinen.
Een ruimtelijk object ter inrichting van de openbare ruimte.","Class","{61526934-9D0C-4A07-8C5D-17F60E1A467}","","Ruimte","Business object","","id-61526934-9d0c-4a07-8c5d-17f60e1a467","","","","28062023-11:06:06"
"543","Migratie ingeschreven natuurlijk persoon","Om gegevens vast te leggen over immigratie en emigratie.","Class","{21BC7953-0237-44c7-ACA5-8A8BC7AE96AD}","","Groepattribuutsoort","Data object","","id-21bc7953-0237-44c7-aca5-8a8bc7ae96ad","","","","28062023-11:06:06"
"544","Milieustraat","Een locatie die specifiek bestemd is voor het brengen van gescheiden huishoudelijk afval en grofvuil.","Class","{1638F2AF-F1E8-4360-BA47-D975F2135168}","http://brt.basisregistraties.overheid.nl/id/begrip/Milieustraat","Afval","Business object","","id-1638f2af-f1e8-4360-ba47-d975f2135168","","","","28062023-11:06:06"
"545","MJOP","Meerjaren Onderhoudsplanning","Class","{A110896B-0CAD-46cf-9226-840DEE3328F0}","","Vastgoed","Business object","","id-a110896b-0cad-46cf-9226-840dee3328f0","","","","28062023-11:06:06"
"546","MJOP-Item","Onderdeel van een MJOP","Class","{54697170-4C4D-40f6-9E08-35DF1970B8C6}","","Vastgoed","Data object","","id-54697170-4c4d-40f6-9e08-35df1970b8c6","","","","28062023-11:06:06"
"547","Monumenttypering","","Enumeration","{764193B9-F588-46a2-A230-4B9D29B8CF44}","","Vastgoed","Data object","","id-764193b9-f588-46a2-a230-4b9d29b8cf44","","","","28062023-11:06:06"
"548","MOOR-melding","Meldingsproces rondom werkzaamheden aan kabels en leidingen.","Class","{30D5F6E6-DE8D-46b6-AC8A-6CA1391ADFF7}","","Ruimte","Business object","","id-30d5f6e6-de8d-46b6-ac8a-6ca1391adff7","","","","28062023-11:06:06"
"549","MORAanvraagOfMelding (Dienstverlening)","","Class","{A9B89FF7-BCED-49fc-97A4-2A98BCED5B17}","","Dienstverlening","Data object","","id-a9b89ff7-bced-49fc-97a4-2a98bced5b17","","","","28062023-11:06:06"
"550","MORAanvraagOfMelding (Vergunningverlening, Toezicht en Handhaving)","","Class","{80F23226-8DD8-4926-B8F1-F2A3C01A29BF}","","Vergunningverlening, Toezicht en Handhaving","Data object","","id-80f23226-8dd8-4926-b8f1-f2a3c01a29bf","","","","28062023-11:06:06"
"551","Mulder Feit","","Class","{4EA4D754-FAD7-4caf-8060-342689EC16FE}","","Parkeren","Data object","","id-4ea4d754-fad7-4caf-8060-342689ec16fe","","","","28062023-11:06:06"
"552","Mulderfeit","Brief van het CJIB met boete voor een lichte verkeersovertreding. In de rechterbovenhoek van de CJIB-brief staat de M (van Mulder). Op de beschikking staat een korte beschrijving van de overtreding en de opgelegde geldboete.","","","","","Business object","","id-a6074fe6-1d0a-6157-844f-93c234709aef","","","","28062023-11:06:06"
"553","MultiPuntLijn(Multi)Vlak","Een samengesteld geometrie datatype waarbij wordt afgedwongen dat één van de voorkomens van de attributen geometrieMultiPunt, geometrieLijn, geometrieVlak of geometrieMultivlak moet worden toegepast. 
","DataType","{3616725E-8ABE-4756-9F76-EF38A8E7CE3D}","","Union","Data object","","id-3616725e-8abe-4756-9f76-ef38a8e7ce3d","","","","28062023-11:06:06"
"554","Museumobject","Beschrijving van een fenomeen in de werkelijkheid met een zekere cultuurhistorische waarde die deel uitmaakt van de culthuurhistorisch object index. Een museum object kan gedifini√´erd worden als een object met betrekking tot gebouwd, archeologisch, roerend of cultuurlandschappelijk erfgoed. Denk hierbij bijvoorbeeld aan een gebouwd of archeologisch rijksmonument, een schilderij of een beschermd stads- of dorpsgezicht.","Class","{BBCF9DBE-70AD-431c-B698-7F0D69D07050}","","Museum Prinsenhof","Business object","","id-bbcf9dbe-70ad-431c-b698-7f0d69d07050","","","","28062023-11:06:06"
"555","Museumrelatie","Betrekking waarin het museum en personen tot elkaar staan","Class","{C73389B7-7BCD-4496-888B-6ABEE9DE01FB}","","Museum Prinsenhof","Data object","","id-c73389b7-7bcd-4496-888b-6abee9de01fb","","","","28062023-11:06:06"
"556","Mutatie","Wijziging van een situatie","Class","{CB0A6B53-D263-459e-8C28-AD97E5552FFF}","","Financien","Business object","Dit kan naast getoonde mutaties nog diverse andere soorten mutaties betreffen, die handmatig worden ingevoerd, of via batches of facturen lopen: * Verkoop tot ontvangst * Inkoop tot betaling * BTW-compensatie * Vaste activa * Urenadministratie uit TIM","id-cb0a6b53-d263-459e-8c28-ad97e5552fff","","","","28062023-11:06:06"
"557","Naam aanschrijving NATUURLIJK PERSOON","De naamgegevens waarmee de persoon heeft aangegeven aangeschreven te willen worden","Class","{1F5046AA-A7C3-4146-9C7C-E80AC8F7A2FF}","","Groepattribuutsoort","Data object","","id-1f5046aa-a7c3-4146-9c7c-e80ac8f7a2ff","","","","28062023-11:06:06"
"558","Naam NATUURLIJK PERSOON","Gegevens over de naam van de natuurlijk persoon","Class","{47AEC100-56C6-4450-B6A2-02C7E420D5EC}","","Groepattribuutsoort","Data object","","id-47aec100-56c6-4450-b6a2-02c7e420d5ec","","","","28062023-11:06:06"
"559","naamgebruik","De voorgedefinieerde waarden van naamgebruik volgens de centrale voorzieningen. Zie attribuut <i>Naamgebruik</i> van groep A.1.12 Naamgebruik van BRP.","Enumeration","{C252CE97-1239-44b4-9180-8DAD48897FA0}","","Enumeratiesoort","Data object","","id-c252ce97-1239-44b4-9180-8dad48897fa0","","","","28062023-11:06:06"
"560","Naamgebruik natuurlijk persoon","De naamgegevens waarmee de persoon heeft aangegeven aangeschreven te willen worden","Class","{02601AC0-9F85-47e3-82AF-7E8D860559F7}","","Groepattribuutsoort","Data object","","id-02601ac0-9f85-47e3-82af-7e8d860559f7","","","","28062023-11:06:06"
"561","NAD_AanvullingBRP","","Class","{46386087-923F-402e-BB6B-6DE39D73349A}","","Vastgoed","Data object","","id-46386087-923f-402e-bb6b-6de39d73349a","","","","28062023-11:06:06"
"562","Nadere Toegang","De bevoegdheid om gegevens te raadplegen, bepaalde plaatsen te betreden of een bepaalde taak uit te oefenen.","Class","{7A080605-07C5-4947-9B35-BC6EBE2041FA}","","Erfgoed: Archief","Business object","","id-7a080605-07c5-4947-9b35-bc6ebe2041fa","","","","28062023-11:06:06"
"563","Naheffing","Het achteraf vorderen van te weinig betaalde belasting ","Class","{4957AC99-3F36-4959-A210-9EC6759B87F8}","","Parkeren","Business object","","id-4957ac99-3f36-4959-a210-9ec6759b87f8","Navordering","","","28062023-11:06:06"
"564","NATIONALITEIT","De hoedanigheid van tot een bepaalde natie te behoren.","Class","{71B3BE0D-2BF9-4740-9597-A0EEC75AFE9B}","","Referentielijsten","Business object","","id-71b3be0d-2bf9-4740-9597-a0eec75afe9b","","","","28062023-11:06:06"
"565","Nationaliteit ingeschreven natuurlijk persoon","Gegevens over de nationaliteit.","Class","{261B509E-6879-4475-B5F8-77E8428816CE}","","Groepattribuutsoort","Data object","","id-261b509e-6879-4475-b5f8-77e8428816ce","","","","28062023-11:06:06"
"566","NATUURLIJK PERSOON","Een INGESCHREVEN PERSOON of ANDER NATUURLIJK PERSOON","Class","{9F4E12E4-B228-4931-AC83-1B1F60958A89}","https://www.gemmaonline.nl/index.php/Informatiemodel_Basis-_en_Kerngegevens_(RSGB)","RSGB Model","Business object","","id-9f4e12e4-b228-4931-ac83-1b1f60958a89","","","","28062023-11:06:06"
"567","Nederlandse nationaliteit INGESCHREVEN PERSOON","Gegevens over de nationaliteit.","Class","{BA5F2281-466D-4c69-9EB8-D10614C5CD8E}","","Groepattribuutsoort","Data object","","id-ba5f2281-466d-4c69-9eb8-d10614c5cd8e","","","","28062023-11:06:06"
"568","NEN2767 Conditiescore","<font color=""#262626"">NEN 2767 zorgt voor het uniform inspecteren en in kaart brengen van de technische staat van alle bouw- en installatie delen m.b.t. gebouwen en/of infrastructuur. Door middel van conditiescores maakt u gemakkelijk vergelijkingen tussen de verschillende onderhoudstoestanden van objecten. Zo heeft u met de resultaten inzicht in onderhoudskosten en mogelijke risico’s en zo kunt u meerjarige onderhoudsplanningen opstellen. Kortom, met deze norm kunt u de kwaliteit waarborgen.</font>","Enumeration","{81CA4474-4D1E-485d-94F9-1243FA00B1FE}","","Vastgoed","Data object","","id-81ca4474-4d1e-485d-94f9-1243fa00b1fe","","","","28062023-11:06:06"
"569","Nertwerkcomponent","","Class","{DD277E82-0CA5-4460-918F-9178B5F01886}","","ICT","Data object","","id-dd277e82-0ca5-4460-918f-9178b5f01886","","","","28062023-11:06:06"
"570","Netwerkcomponent","Een reeks structuren die computersystemen of andere elektronische apparaten met elkaar verbinden voor verzending, routering en ontvangst van gegevens of op gegevens gebaseerde communicatie zoals spraak en video.","","","","","Business object","","id-51d0aa3f-59a9-9580-7af1-5accbbe50a7f","","","","28062023-11:06:06"
"571","NIET NATUURLIJK PERSOON","Een INGESCHREVEN NIET-NATUURLIJK PERSOON of een ANDER BUITENLANDS NIET-NATUURLIJK PERSOON","Class","{3D5CCB29-91E4-458e-8BCD-6741198E45B8}","https://www.gemmaonline.nl/index.php/Informatiemodel_Basis-_en_Kerngegevens_(RSGB)","RSGB Model","Business object","","id-3d5ccb29-91e4-458e-8bcd-6741198e45b8","","","","28062023-11:06:06"
"572","Norm","Omgevingswaarde of een omgevingsnorm, met een normatief karakter, die beschreven worden middels normwaarden. Een normwaarde kan kwalitatief of kwantitatief zijn.","Class","{081F7413-A4D0-49e7-98E2-E0F3F4299750}","https://geonovum.github.io/TPOD/CIMOW/CIMOW_v2.1.0.pdf","Omgevingswet","Business object","Een norm kan bestaan uit meerdere normwaarden, die dan veelal afzonderlijk gelden voor aparte gebieden. Bijvoorbeeld: de norm maximum bouwhoogte bestaat uit twee normwaarden: # maximum bouwhoogte 10 meter geldt voor een aantal locaties; # maximum bouwhoogte 12 meter geldt voor een aantal andere locaties. Een juridische regel geeft de norm als geheel werkingskracht (niet de individuele normwaarden).","id-081f7413-a4d0-49e7-98e2-e0f3f4299750","","","","28062023-11:06:06"
"573","Normaal onderhoud","noodzakelijke reguliere werkzaamheden die gericht zijn op het behoud van monumentale waarde","","","","","Business object","","bdbcdbaf-773f-4cd0-ab3b-d3d2531844d0","","","","28062023-11:06:06"
"574","Normwaarde","√â√©n van de kwantitatieve of kwalitatieve waarden van een norm. De normwaarde geeft aan wat de specifieke kwantitatieve of kwalitatieve eisen zijn, inclusief de toewijzing ervan aan de specifieke locatie(s) waar de normwaarde voor geldt.","Class","{58656D46-644B-4779-A473-739C5636BA0A}","https://geonovum.github.io/TPOD/CIMOW/CIMOW_v2.1.0.pdf","Omgevingswet","Business object","Een gegevensgroeptype is geen object. Het is een apart type modelelement om een groep van kenmerken in onder te brengen, te weten de beschrijving van de normwaarde, de waarde zelf en de locatie waarvoor deze geldt.","id-58656d46-644b-4779-a473-739c5636ba0a","","","","28062023-11:06:06"
"575","Notariele Status","","Class","{9748A1E1-0B37-493d-B294-ED6CDE4C8DE9}","","Schuldhulpverlening","Data object","","id-9748a1e1-0b37-493d-b294-ed6cde4c8de9","","","","28062023-11:06:06"
"576","Notitie","Korte, zakelijke uiteenzetting op schrift","Class","{354E5545-D067-4b81-9D1D-C5F5FFB532C7}","http://lod.duo.nl/term/Notitie","ICT","Business object","","id-354e5545-d067-4b81-9d1d-c5f5ffb532c7","","","","28062023-11:06:06"
"577","NUMMERAANDUIDING","Een door het bevoegde gemeentelijke orgaan als zodanig toegekende aanduiding van een VERBLIJFSOBJECT, een STANDPLAATS of een LIGPLAATS.","Class","{31A87864-6CE0-4e93-A493-ECD0FBDD4461}","https://www.gemmaonline.nl/index.php/Informatiemodel_Zaken_(RGBZ)","RSGB Model","Business object","","id-31a87864-6ce0-4e93-a493-ecd0fbdd4461","","","","28062023-11:06:06"
"578","Nutsvoorzieningen","voorzieningen ten behoeve van het openbare nut zoals transformatorhuisjes, gasreduceerstations, schakelhuisjes, duikers, bemalingsinstallaties, gemaalgebouwtjes, telefooncellen, voorzieningen ten behoeve van ondergrondse afvalinzameling en apparatuur voor telecommunicatie","","","","","Business object","","cd5d9dcf-d039-49c7-929f-50f872336159","","","","28062023-11:06:06"
"579","OBJECT","<font color=""#610e6a"">Het OBJECT waarop een ZAAK betrekking kan hebben zijnde één of meer voorkomens van de in het RSGB en het RGBZ onderscheiden objecttypen.</font>","Class","{91F9D39E-0322-42c6-AE7F-5027B36F3EC3}","https://www.gemmaonline.nl/index.php/Informatiemodel_Basis-_en_Kerngegevens_(RSGB)","RGBZ Model","Business object","","id-91f9d39e-0322-42c6-ae7f-5027b36f3ec3","","","","28062023-11:06:06"
"580","ObjectClassificatie","Systematische identificatie en ordening van objecten in categorie√´n overeenkomstig logisch gestructureerde conventies, methoden en procedureregels weergegeven in een classificatiesysteem.","Class","{65792171-62FA-4c35-930A-8B9C999ADC14}","https://thesaurus.cultureelerfgoed.nl/concept/cht:1aa0b09c-439c-469e-ac5a-1ae980652813/nl","Generieke Entiteiten Erfgoed","Data object","","id-65792171-62fa-4c35-930a-8b9c999adc14","","","","28062023-11:06:06"
"581","Objectrelatie","Relatie tot een object","Class","{3EA09322-144A-407d-86C4-FCC8C041C826}","","Vastgoed","Data object","","id-3ea09322-144a-407d-86c4-fcc8c041c826","","","","28062023-11:06:06"
"582","Objectrelatierol","","Enumeration","{0D0C34BC-D054-45b0-BDB6-3F32F65E51CB}","","Vastgoed","Data object","","id-0d0c34bc-d054-45b0-bdb6-3f32f65e51cb","","","","28062023-11:06:06"
"583","Objecttype","De typering van een groep objecten (in de werkelijkheid) die binnen een domein relevant zijn en als gelijksoortig worden beschouwd.
<i>Toelichting</i>
Jan, Piet en Marie zijn mensen die vanuit het Burgerzaken-domein beschouwd worden als objecten van het type ‘natuurlijk persoon’. In een ander domein, ‘de volksmond’, noemen we dit ‘mens’ wat ook een objecttype is. In weer een ander domein is Jan van het type ‘vergunninghouder’ en Piet en Marie niet, omdat aan hen (nog) nooit een vergunning verleend is. Objecttypen zijn een abstractie van de werkelijkheid oftewel we beogen hiermee de werkelijkheid zo getrouw mogelijk te beschrijven, binnen de context van het domein. Dit staat geheel los van het vastleggen van gegevens over objecten van een type in een registratie. Daartoe is veelal een interpretatie nodig (van die werkelijkheid cq. die objecttypen) naar eenheden die in een registratie vastgelegd kunnen worden (records, entiteiten e.d.) op basis van andere overwegingen.","Class","{A2451674-6C19-4bf9-81F9-57CDE2F60144}","https://docs.geostandaarden.nl/mim/mim/#objecttype","ICT","Data object","","id-a2451674-6c19-4bf9-81f9-57cde2f60144","","","","28062023-11:06:06"
"584","Objecttype A","","","{AE553F3F-B8B6-4bd2-A6A1-8051145C823B}","","Tekenwijze","Data object","","id-ae553f3f-b8b6-4bd2-a6a1-8051145c823b","","","","28062023-11:06:06"
"585","Objecttype B","","","{0799B0D1-5067-43e2-8A6F-48FB972225E5}","","Tekenwijze","Data object","","id-0799b0d1-5067-43e2-8a6f-48fb972225e5","","","","28062023-11:06:06"
"586","Objecttype C","","","{889A7DC6-B389-4e02-BB53-CC0B2B5B0D91}","","Tekenwijze","Data object","","id-889a7dc6-b389-4e02-bb53-cc0b2b5b0d91","","","","28062023-11:06:06"
"587","Objecttype D","","","{DE4D6CAB-7798-46cd-AE1B-328684681323}","","Tekenwijze","Data object","","id-de4d6cab-7798-46cd-ae1b-328684681323","","","","28062023-11:06:06"
"588","Objecttype E","","","{EF4E7B58-F178-4a4f-85C5-A5CD93747A36}","","Tekenwijze","Data object","","id-ef4e7b58-f178-4a4f-85c5-a5cd93747a36","","","","28062023-11:06:06"
"589","Objecttype F","","","{23D170D0-917E-4873-A622-43214405AB3D}","","Tekenwijze","Data object","","id-23d170d0-917e-4873-a622-43214405ab3d","","","","28062023-11:06:06"
"590","Objecttype G","","","{97EE5348-F06A-44cb-A792-7371CF5D2E53}","","Tekenwijze","Data object","","id-97ee5348-f06a-44cb-a792-7371cf5d2e53","","","","28062023-11:06:06"
"591","Offerte (Inkoop)","Aanbod, aanbieding of voorstel van goederen of diensten waarin opgave is gedaan van de prijs. ","Class","{BF21FFA3-3EA6-410a-BC65-7BE5547646B6}","","Inkoop","Data object","","id-bf21ffa3-3ea6-410a-bc65-7be5547646b6","","","","28062023-11:06:06"
"592","Offerte (RGBZ Model)","Aanbod, aanbieding of voorstel van goederen of diensten waarin opgave is gedaan van de prijs. ","Class","{B259BE5F-AC3A-4e0f-A149-D1F165277CC2}","","RGBZ Model","Business object","","id-b259be5f-ac3a-4e0f-a149-d1f165277cc2","","","","28062023-11:06:06"
"593","Offerte (Vastgoed)","Aanbod, aanbieding of voorstel van goederen of diensten waarin opgave is gedaan van de prijs. ","Class","{EF55544A-F59B-4411-A3D2-9C1A2BA2663C}","","Vastgoed","Data object","","id-ef55544a-f59b-4411-a3d2-9c1a2ba2663c","","","","28062023-11:06:06"
"594","Offerteaanvraag","Aanbesteding bij inschrijving","Class","{1EF1AC66-9563-4cdd-AE78-0878D651907A}","","Inkoop","Business object","","id-1ef1ac66-9563-4cdd-ae78-0878d651907a","","","","28062023-11:06:06"
"595","Omgevingsdocument","In artikel 16.2 van de Omgevingswet aangemerkt instrument te weten: Omgevingsvisie, programma, omgevingsplan, waterschapsverordening, omgevingsverordening, projectbesluit of bij Algemene Maatregel van Bestuur (Omgevingsbesluit) aangewezen ander besluit of ander rechtsfiguur.","Class","{F5434F00-CC0F-4d7b-91AE-20CBD3C60DFC}","https://www.gemmaonline.nl/index.php/Omgevingswet/1.5/id-1ef84005-17fd-41d1-8d70-665158e83b0d","Omgevingswet","Business object","","id-f5434f00-cc0f-4d7b-91ae-20cbd3c60dfc","","","","28062023-11:06:06"
"596","Omgevingsnorm","Een norm over de fysieke leefomgeving die in een kwantitatieve of kwalitatieve waarde wordt uitgedrukt en geen omgevingswaarde is.","Class","{F90F8E5E-7402-4c44-AC69-91A4175E5D47}","https://geonovum.github.io/TPOD/CIMOW/CIMOW_v2.1.0.pdf","Omgevingswet","Business object","Bijvoorbeeld: maximum bouwhoogte, maximum aantal parkeerplaatsen, maximum geluidbelasting, maximum aantal bezoekers Alle omgevingsnormen hebben als herkomst omgevingsdocumenten. De Omgevingsnorm is niet de regel zelf. De regel beschrijft wat er juridisch geldt voor dit object. De juridische tekst waarin dit object genoemd is, is te vinden in de juridische regel, en niet in dit object.","id-f90f8e5e-7402-4c44-ac69-91a4175e5d47","","","","28062023-11:06:06"
"597","Omgevingsvergunning","Vergunning als bedoeld in afdeling 5.1 van de Omgevingswet","Class","{053B594A-5E45-4413-9339-D2D026ECCE20}","http://wetgeving.omgevingswet.overheid.nl/wetgeving/id/concept/Omgevingsvergunning","Ruimte","Business object","","id-053b594a-5e45-4413-9339-d2d026ecce20","","","","28062023-11:06:06"
"598","Omgevingswaarde","Een norm die voor (een onderdeel van) de fysieke leefomgeving de gewenste staat of kwaliteit, de toelaatbare belasting door activiteiten en/of de toelaatbare concentratie of depositie van stoffen als beleidsdoel vastlegt.","Class","{6B1F7274-19A7-4349-835E-85CBEFFEE35A}","https://geonovum.github.io/TPOD/CIMOW/CIMOW_v2.1.0.pdf","Omgevingswet","Business object","Bijvoorbeeld: streefwaarden of maximaal toelaatbare waarden voor luchtkwaliteit, kwaliteit van oppervlaktewater, grondwater of zwemwater. Alle omgevingswaarden hebben als herkomst omgevingsdocumenten. Omgevingswaarden worden uitgedrukt in meetbare of berekenbare eenheden of anderszins in objectieve termen. Een omgevingswaarde is bindend voor de overheid die de omgevingswaarde heeft vastgesteld en heeft geen rechtstreekse werking voor anderen. Omgevingswaarden zijn een concretisering van de maatschappelijke doelen die met de Omgevingswet worden nagestreefd. Zij hebben betrekking op de hoedanigheid en eigenschappen van de fysieke leefomgeving (de staat, kwaliteit of inrichting van de omgeving). Omgevingswaarden dienen als referentiekader bij de inzet van instrumenten en bevoegdheden van de overheid. De Omgevingswaarde is niet de regel zelf. De regel beschrijft wat er juridisch geldt voor dit object. De juridische tekst waarin dit object genoemd is, is te vinden in de juridische regel, en niet in dit object.","id-6b1f7274-19a7-4349-835e-85cbeffee35a","","","","28062023-11:06:06"
