"nr","naam","definitie","uml-type","ggm-guid","bron","domein-iv3","archimate-type","toelichting","gemma-guid","synoniemen","domein-dcat","domein-gemma","datum-tijd-export"
"819","Stelling (Erfgoed: Archeologie)","Een systeem om goederen op te slaan die worden vervoerd en opgeslagen op pallets, in bundels of per stuk.(Wikipedia)","Class","{382D408F-41A3-49d2-9F66-DFFA6C75590D}","https://thesaurus.cultureelerfgoed.nl/concept/cht:66fcf9b7-d52e-4bd1-8f09-eba772158a52/nl","Erfgoed: Archeologie","Data object","","id-382d408f-41a3-49d2-9f66-dffa6c75590d","Stellingkast","","","28062023-11:06:06"
"820","Stelling (Erfgoed: Archief)","Een systeem om goederen op te slaan die worden vervoerd en opgeslagen op pallets, in bundels of per stuk.(Wikipedia)","Class","{78DA1B42-4AF8-4650-81A0-7F2C3A450B3D}","","Erfgoed: Archief","Data object","","id-78da1b42-4af8-4650-81a0-7f2c3a450b3d","","","","28062023-11:06:06"
"821","Stemming","Stem (openbaring van iemands mening (voor of tegen)),  uitbrengen bij verkiezingen of bij een vergadering","Class","{331C4A0B-1505-4945-A0B0-DCD8703AB50F}","https://www.vandale.nl/gratis-woordenboek/nederlands/betekenis/stemmen","Griffie","Business object","","id-331c4a0b-1505-4945-a0b0-dcd8703ab50f","","","","28062023-11:06:06"
"822","Stemmingsresultaattype","","Enumeration","{0A3A2E20-2A67-4e16-B11E-36C09F94331D}","","Griffie","Data object","","id-0a3a2e20-2a67-4e16-b11e-36c09f94331d","","","","28062023-11:06:06"
"823","Stemmingstype","","Enumeration","{368EB061-7CF3-4115-BB21-3C618782F205}","","Griffie","Data object","","id-368eb061-7cf3-4115-bb21-3c618782f205","","","","28062023-11:06:06"
"824","Storing (ICT)","Verlies van de mogelijkheid om volgens een specificatie te werken of om het vereiste resultaat te leveren.","Class","{4E5F272E-00CA-481c-A51B-7D08B5E6B0A9}","https://begrippen.archixl.nl/archixl/nl/page/Storing","ICT","Business object","","id-4e5f272e-00ca-481c-a51b-7d08b5e6b0a9","","","","28062023-11:06:06"
"825","Storing (Ruimte)","Verlies van de mogelijkheid om volgens een specificatie te werken of om het vereiste resultaat te leveren.","Class","{0EF67A8B-AEBE-4a00-B1EF-2EFD0DCC9F5D}","","Ruimte","Data object","","id-0ef67a8b-aebe-4a00-b1ef-2efd0dcc9f5d","","","","28062023-11:06:06"
"826","Storing (Ruimte)","Verlies van de mogelijkheid om volgens een specificatie te werken of om het vereiste resultaat te leveren.","Class","{3084F00C-B2E1-4f0b-9774-7E132EF20DDA}","","Ruimte","Data object","","id-3084f00c-b2e1-4f0b-9774-7e132ef20dda","","","","28062023-11:06:06"
"827","Storting","Activiteit, inhoudende a. het zich ontdoen van stoffen ","Class","{15910FE7-D323-45ff-AA7F-CE3C636CE953}","","Afval","Business object","","id-15910fe7-d323-45ff-aa7f-ce3c636ce953","","","","28062023-11:06:06"
"828","Straatsectie","Gedeelte van een straat","Class","{339ACCD5-1D13-4a48-83DE-05A0A4A54C43}","","Parkeren","Data object","","id-339accd5-1d13-4a48-83de-05a0a4a54c43","","","","28062023-11:06:06"
