nr,GEMMA-naam,GGM-naam,GEMMA-guid,GGM-guid,GEMMA-type,GGM-uml-type,GEMMA-definitie,GGM-definitie,GEMMA-toelichting,GGM-toelichting,GEMMA-source-guid,GGM-source-guid,GEMMA-target-guid,GGM-target-guid,Datum-tijd-export
648,,Heeft,,{7F7FE836-F4D9-4584-BD7B-F8579984F9F7},,Association,,,,,,{9547BC67-7488-4d9a-B651-2B69A62D789F},,{88AF7A2E-C508-464a-AD22-DD9B156D570D},18062026-11:55:11
649,,heeft,,{2EBFB0E8-1F2A-45fb-A9C2-AAED1EFBA6DB},,Association,,,,,,{9547BC67-7488-4d9a-B651-2B69A62D789F},,{7F9392E5-6E43-4880-AF14-819E32A86204},18062026-11:55:11
650,betreft,betreft,0b64182f-4956-46fe-9bf9-a1e6d05c719b,{74669FE0-D963-4e2d-97C6-FE532ADE734E},association-relationship,Association,,,,,ea768404-3043-48bc-b0dc-143abc8806d6,{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},1d49cf98-d059-42da-bdd4-d076f8ace453,{435883D2-C399-4590-B4F5-B07111103484},18062026-11:55:11
651,betreft,betreft,cef64888-bf18-4d14-9710-18766bb5e5b4,{6212E314-EC1D-4325-B5F1-06DFC208F360},association-relationship,Association,,,,,857327b0-3ab3-4578-869d-7b390aa1e3d3,{331C4A0B-1505-4945-A0B0-DCD8703AB50F},378dab8d-1135-40b8-9ed5-3591a89c75c2,{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},18062026-11:55:11
652,heeft verslag,heeft verslag,0cf9cfb8-427e-4ab9-a459-c132e4c21789,{478BEE5A-22BB-4688-9AF4-5B6A29A16BAF},association-relationship,Association,,,,,ea768404-3043-48bc-b0dc-143abc8806d6,{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},378dab8d-1135-40b8-9ed5-3591a89c75c2,{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},18062026-11:55:11
653,,heeft,,{E4D00870-1DF1-4693-909D-E94782A7BEF9},,Association,,,,,,{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},,{01E83CEC-D69D-47eb-9BAB-252AABADDD18},18062026-11:55:11
654,wordt behandeld in,wordt behandeld in,b3885523-3cd0-44b1-8959-4169058f7388,{AA12C031-2ED2-4fde-911F-CFE585E81CB0},association-relationship,Association,,,,,378dab8d-1135-40b8-9ed5-3591a89c75c2,{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},ea768404-3043-48bc-b0dc-143abc8806d6,{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},18062026-11:55:11
655,is lid van,is lid van,e539742f-6815-4cef-98a9-6055a5087cf4,{1DF94C0B-C6BD-4c7d-9AE2-5761713339DB},association-relationship,Association,,,,,db373678-134a-4333-9d49-e86faf5ce531,{5772BEBB-97FA-42a9-B70D-DB55EAD6D1EE},62126697-6498-4c0a-a84e-2275138c2eaa,{CB27D699-F82B-45ad-823A-B2B51BCAECBA},18062026-11:55:11
656,heeft,heeft,05e87fd0-ab57-4558-8a10-c379bd6c6394,{84B35607-9C4D-47a2-B9E0-5C20A2C477FB},association-relationship,Association,,,,,62126697-6498-4c0a-a84e-2275138c2eaa,{CB27D699-F82B-45ad-823A-B2B51BCAECBA},ea768404-3043-48bc-b0dc-143abc8806d6,{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},18062026-11:55:11
657,,hoort bij,,{A06DA05F-8BC4-497b-8A7B-05774189434F},,Association,,,,,,{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},,{CA56A59A-F855-4c19-89BE-578B12481EA0},18062026-11:55:11
