authentiek,begrip,GGM-bron,created,datum_opname,definitie,dst_class_id,dst_documentation,dst_mult_end,dst_mult_start,dst_multiplicity,dst_role,heeft_tijdlijn_geldigheid,heeft_tijdlijn_registratie,herkomst,herkomst_definitie,GGM-guid,indicatie_formele_historie,indicatie_in_onderzoek,indicatie_materiele_historie,kwaliteit,modified,mogelijk_geen_waarde,GGM-naam,order,populatie,schema_id,src_class_id,src_documentation,src_mult_end,src_mult_start,src_multiplicity,src_role,stereotype,GGM-synoniemen,GGM-toelichting,GGM-uml-type,Datum-tijd-export
,,,,,,EAID_3EA09322_144A_407d_86C4_FCC8C041C826,,-1,0,,,Nee,Nee,,,EAID_B9AF179F_CA5C_4aa9_87C8_DE0731990450,Nee,Nee,Nee,,,Ja,heeft,,,GGM_ROOT_SCHEMA,EAID_28A6F2AC_5AB1_4f25_8876_931152CA28E0,,1,1,,,,,,Association,12052026-14:54:01
,,,,,,EAID_1C25D70B_AE22_4654_9190_2F55272D9BE6,,1,0,,,Nee,Nee,,,EAID_A6A3C17F_1AF6_498b_B4CE_E7EDACC88D2C,Nee,Nee,Nee,,,Ja,heeft,,,GGM_ROOT_SCHEMA,EAID_28A6F2AC_5AB1_4f25_8876_931152CA28E0,,None,1,,,,,,Association,12052026-14:54:01
,,,,,,EAID_9775E778_DBF8_4122_94CE_551466B62F46,,-1,0,,,Nee,Nee,,,EAID_0B49106E_8E0D_4868_AD7B_FBE77EA922D9,Nee,Nee,Nee,,,Ja,betreft,,,GGM_ROOT_SCHEMA,EAID_28A6F2AC_5AB1_4f25_8876_931152CA28E0,,-1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_98A7AE65_A061_449a_94CD_6218069CA86A,,-1,0,,,Nee,Nee,,,EAID_96F3EE4A_4E0B_4427_A6AC_941B7F0ACCD8,Nee,Nee,Nee,,,Ja,heeft,,,GGM_ROOT_SCHEMA,EAID_28A6F2AC_5AB1_4f25_8876_931152CA28E0,,1,1,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_26D1113F_F7B3_4bdd_9AAE_EA14CC9F3C3F,,1,0,,,Nee,Nee,,,EAID_A65AF23A_C4D8_4679_8800_AD24C940D684,Nee,Nee,Nee,,,Ja,betreft,,,GGM_ROOT_SCHEMA,EAID_28A6F2AC_5AB1_4f25_8876_931152CA28E0,,1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_172AFD36_B400_4660_BFAC_4BBC1077D666,,-1,0,,,Nee,Nee,,,EAID_BBEAE982_EA8B_4e71_8C55_7149B9143E9E,Nee,Nee,Nee,,,Ja,betreft,,,GGM_ROOT_SCHEMA,EAID_28A6F2AC_5AB1_4f25_8876_931152CA28E0,,-1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_8D52E9F1_9CC9_42c6_A347_E68E29718E55,,-1,0,,,Nee,Nee,,,EAID_EB8D23E8_02B3_4898_831A_B2BE79831E38,Nee,Nee,Nee,,,Ja,betreft,,,GGM_ROOT_SCHEMA,EAID_28A6F2AC_5AB1_4f25_8876_931152CA28E0,,-1,1,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_1C25D70B_AE22_4654_9190_2F55272D9BE6,,1,1,,,Nee,Nee,,,EAID_0D3ADE49_1F1E_4765_8CAC_CD50AE50E4AB,Nee,Nee,Nee,,,Ja,betreft,,,GGM_ROOT_SCHEMA,EAID_98A7AE65_A061_449a_94CD_6218069CA86A,,1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_9A739672_6084_4c05_A13E_59DB13551E58,,-1,0,,,Nee,Nee,,,EAID_AEE8935F_0754_4b89_A835_BAAB9099E663,Nee,Nee,Nee,,,Ja,betreft,,,GGM_ROOT_SCHEMA,EAID_C5AA8835_219D_4bfa_85EF_8BA45F732BCD,,-1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_BE147761_326E_4859_9366_5157CE865EC1,,-1,0,,,Nee,Nee,,,EAID_171A032E_1B57_4780_A993_4E676DD67B5B,Nee,Nee,Nee,,,Ja,betreft,,,GGM_ROOT_SCHEMA,EAID_C5AA8835_219D_4bfa_85EF_8BA45F732BCD,,-1,0,,,,,,Association,12052026-14:54:01
